Washington DC Ultimate Championships,open club,18,7,2009
Washington,DC,2009-07-18,2009-07-19
https://scorereport.net/2009/open/event6498
Floodwall
b,r,e,a,k
Virginia Tech
b,r,e,a,k
Eastern Motors FB
b,r,e,a,k
Car Bomb
b,r,e,a,k
Truck Stop
b,r,e,a,k
OLD SAG
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Floodwall,Virginia Tech,8,13,"07/18/2009, 07:30",Pool A,final
Eastern Motors FB,Floodwall,13,7,"07/18/2009, 10:00",Pool A,final
Eastern Motors FB,Virginia Tech,13,8,"07/18/2009, 12:30",Pool A,final
Eastern Motors FB,Car Bomb,13,8,"07/19/2009, 07:30",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Truck Stop,Virginia Tech,15,7,"07/19/2009, 00:00",Bracket,final
Truck Stop,Eastern Motors FB,15,8,"07/19/2009, 00:00",Bracket,final
Eastern Motors FB,OLD SAG,15,11,"07/19/2009, 00:00",Bracket,final
bracket,Bracket
bracket,Bracket
bracket,Bracket
b,r,e,a,k
