WUT UP NY?!? Women's Hat Tournament,college-womens,6,5,2012
Rochester,NY,2012-05-06,2012-05-06
https://scorereport.net/2012/college-womens/event11057
2012000A
b,r,e,a,k
2012000C
b,r,e,a,k
2012000B
b,r,e,a,k
2012000D
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool Cool
2012000A,2012000C,,,"05/06/2012, 13:30",Pool Cool,scheduled
2012000B,2012000D,,,"05/06/2012, 13:30",Pool Cool,scheduled
2012000A,2012000D,,,"05/06/2012, 15:15",Pool Cool,scheduled
2012000B,2012000C,,,"05/06/2012, 15:15",Pool Cool,scheduled
2012000A,2012000B,,,"05/06/2012, 17:00",Pool Cool,scheduled
2012000C,2012000D,,,"05/06/2012, 17:00",Pool Cool,scheduled
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
