CBB Winter Classic,college-womens,4,3,2012
Brunswick,Maine,2012-03-04,2012-03-04
https://scorereport.net/2012/college-womens/event10887
Bates
b,r,e,a,k
Bowdoin
b,r,e,a,k
Colby
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool B
Bates,Bowdoin,3,13,"03/04/2012, 13:00",Pool B,final
Colby,Bowdoin,0,13,"03/04/2012, 14:15",Pool B,final
Bates,Colby,10,12,"03/04/2012, 15:30",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Bowdoin,Colby,13,2,"03/04/2012, 17:00",Bracket,final
b,r,e,a,k
