Ohio Invitational,college-womens,25,2,2012
Athens,Ohio,2012-02-25,2012-02-25
https://scorereport.net/2012/college-womens/event10371
Ohio
b,r,e,a,k
Cincinnati
b,r,e,a,k
Toledo
b,r,e,a,k
Denison
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Ohio,Cincinnati,8,9,"02/25/2012, 09:00",Pool A,final
Toledo,Denison,4,6,"02/25/2012, 09:00",Pool A,final
Ohio,Denison,11,2,"02/25/2012, 11:00",Pool A,final
Toledo,Cincinnati,7,8,"02/25/2012, 11:00",Pool A,final
Ohio,Toledo,8,6,"02/25/2012, 13:00",Pool A,final
Cincinnati,Denison,3,2,"02/25/2012, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
