3rd Annual Turf Tournament,college-open,24,1,2009
Williamstown,MA,2009-01-24,2009-01-24
https://scorereport.net/2009/college-open/event5993
Williams
b,r,e,a,k
Middlebury
b,r,e,a,k
Dartmouth
b,r,e,a,k
Connecticut
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Williams,Middlebury,9,11,"01/24/2009, 10:00",Pool A,final
Dartmouth,Connecticut,6,9,"01/24/2009, 10:00",Pool A,final
Williams,Connecticut,11,6,"01/24/2009, 12:00",Pool A,final
Dartmouth,Middlebury,6,13,"01/24/2009, 12:00",Pool A,final
Williams,Dartmouth,11,8,"01/24/2009, 14:00",Pool A,final
Middlebury,Connecticut,13,9,"01/24/2009, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
