The Wilmington OverFlow B Tournament,college-open,21,3,2009
Wilmington,NC,2009-03-21,2009-03-22
https://scorereport.net/2009/college-open/event6316
Tufts-B
b,r,e,a,k
Williams-C
b,r,e,a,k
Dartmouth-B
b,r,e,a,k
Williams-B
b,r,e,a,k
Brown-C
b,r,e,a,k
Tufts-C
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Tufts-B,Williams-C,13,0,"03/21/2009, 00:00",Pool A,final
Dartmouth-B,Williams-B,9,8,"03/21/2009, 00:00",Pool A,final
Williams-B,Williams-C,13,8,"03/21/2009, 00:00",Pool A,final
Tufts-B,Williams-B,13,2,"03/21/2009, 00:00",Pool A,final
Tufts-B,Brown-C,13,1,"03/21/2009, 00:00",Pool A,final
Tufts-B,Dartmouth-B,13,2,"03/21/2009, 00:00",Pool A,final
Tufts-B,Tufts-C,13,2,"03/21/2009, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
bracket,5th Place Bracket
b,r,e,a,k
