NexGen vs. Furious George,open club,8,7,2011
,,2011-07-08,2011-07-08
https://scorereport.net/2011/open/event9526
Furious George
b,r,e,a,k
NexGen
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,NexGen vs. Furious George
Furious George,NexGen,15,13,"07/08/2011, 07:00",NexGen vs. Furious George,final
b,r,e,a,k
