2011 USA Ultimate Michigan Club Open Sectionals,open club,17,9,2011
Kalamazoo,Michigan,2011-09-17,2011-09-18
https://scorereport.net/2011/open/event9677
Steel Head
b,r,e,a,k
Wasted Studs
b,r,e,a,k
Senior Discount
b,r,e,a,k
Hope College
b,r,e,a,k
Sasquatch
b,r,e,a,k
Spoiler
b,r,e,a,k
Notorious B.I.D.
b,r,e,a,k
Rust
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Steel Head,Wasted Studs,8,11,"09/17/2011, 12:00",Pool A,final
Senior Discount,Hope College,5,11,"09/17/2011, 12:00",Pool A,final
Steel Head,Hope College,11,4,"09/17/2011, 13:30",Pool A,final
Wasted Studs,Sasquatch,11,0,"09/17/2011, 13:30",Pool A,final
Steel Head,Senior Discount,11,2,"09/17/2011, 15:00",Pool A,final
Hope College,Sasquatch,15,1,"09/17/2011, 15:00",Pool A,final
Wasted Studs,Hope College,11,4,"09/17/2011, 16:30",Pool A,final
Senior Discount,Sasquatch,11,2,"09/17/2011, 16:30",Pool A,final
Wasted Studs,Senior Discount,11,4,"09/17/2011, 18:00",Pool A,final
Steel Head,Sasquatch,11,0,"09/17/2011, 18:00",Pool A,final
pool,Pool B
Spoiler,Notorious B.I.D.,15,5,"09/17/2011, 14:00",Pool B,final
Rust,Sasquatch,7,15,"09/17/2011, 14:00",Pool B,final
Spoiler,Sasquatch,15,5,"09/17/2011, 16:00",Pool B,final
Rust,Notorious B.I.D.,6,15,"09/17/2011, 16:00",Pool B,final
Spoiler,Rust,15,3,"09/17/2011, 18:00",Pool B,final
Notorious B.I.D.,Sasquatch,10,15,"09/17/2011, 18:00",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Wasted Studs,Sasquatch,15,10,"09/18/2011, 09:00",Championship Bracket,final
Steel Head,Spoiler,15,13,"09/18/2011, 09:00",Championship Bracket,final
Wasted Studs,Steel Head,15,13,"09/18/2011, 13:00",Championship Bracket,final
bracket,Game to Go Bracket
Rust,Hope College,15,6,"09/18/2011, 09:00",Game to Go Bracket,final
Notorious B.I.D.,Senior Discount,15,5,"09/18/2011, 09:00",Game to Go Bracket,final
Rust,Sasquatch,15,11,"09/18/2011, 11:00",Game to Go Bracket,final
Spoiler,Notorious B.I.D.,15,7,"09/18/2011, 11:00",Game to Go Bracket,final
Spoiler,Rust,15,2,"09/18/2011, 13:00",Game to Go Bracket,final
Spoiler,Steel Head,W,L,"09/18/2011, 15:00",Game to Go Bracket,final
bracket,5th Place Bracket
Notorious B.I.D.,Sasquatch,15,14,"09/18/2011, 13:00",5th Place Bracket,final
bracket,7th Place Bracket
Hope College,Senior Discount,W,F,"09/18/2011, 23:00",7th Place Bracket,final
Hope College,Sasquatch,15,2,"09/18/2011, 23:00",7th Place Bracket,final
b,r,e,a,k
