NexGen vs. Rhino,open club,11,7,2011
,,2011-07-11,2011-07-11
https://scorereport.net/2011/open/event9539
NexGen
b,r,e,a,k
Rhino
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,NexGen vs. Rhino
NexGen,Rhino,15,8,"07/11/2011, 19:00",NexGen vs. Rhino,final
b,r,e,a,k
