NexGen vs. Sockeye,open club,9,7,2011
Seattle,WA,2011-07-09,2011-07-09
https://scorereport.net/2011/open/event9527
Sockeye
b,r,e,a,k
NexGen
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,NexGen vs. Sockeye
Sockeye,NexGen,15,11,"07/09/2011, 19:00",NexGen vs. Sockeye,final
b,r,e,a,k
