Williams Turf Tournament (Women),college-womens,17,1,2010
Williamstown,MA,2010-01-17,2010-01-17
https://scorereport.net/2010/college-womens/event6641
Williams
b,r,e,a,k
Massachusetts
b,r,e,a,k
Middlebury
b,r,e,a,k
Dartmouth
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Williams,Massachusetts,7,7,"01/17/2010, 10:00",Pool A,final
Middlebury,Dartmouth,13,5,"01/17/2010, 10:00",Pool A,final
Williams,Dartmouth,9,7,"01/17/2010, 12:00",Pool A,final
Middlebury,Massachusetts,15,2,"01/17/2010, 12:00",Pool A,final
Williams,Middlebury,3,11,"01/17/2010, 14:00",Pool A,final
Massachusetts,Dartmouth,2,15,"01/17/2010, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
