Men's Centex 2025,College - Men ,15,3,2025
Austin,TX,2025-03-15,2025-03-16
https://play.usaultimate.org/events/Mens-Centex-2025/schedule/Men/CollegeMen/
Tufts,1
teamInfo,Elephant Men,"Medford, Massachusetts",http://www.tuftsmensultimate.org/,,https://twitter.com/tufts_emen
coaches,Gene Buonaccorsi,Jerry  Wang
0,Benjamin Rowland
2,Alexander Vu
3,Naveen Bleakney-Eastman
5,Zak Rizvi
6,Silas Grossman
7,Oscar Graff
9,Ethan Smith
10,Rohin Gast
12,Ian Knightly
13,Spencer Anderson
14,Owen Jones
16,Nate Brophy
17,Sachin Zachariah
18,Joe Rosenberg
19,Dahlin Allport
22,Simon Cordes
23,Peter Kuypers
24,Tucker Livingston
27,Tobias Potts-Drew
33,Talyx Hochstein
49,Wilson Wu
57,Nayan Talwalkar
81,Ram Sundaram
90,Dorsey Strasburger
99,Eliav Malone
b,r,e,a,k
Wisconsin,5
teamInfo,Hodags,"Madison, Wisconsin",http://www.hodaglove.org/,https://www.facebook.com/Wisconsin-Hodags-118125241585256/,https://twitter.com/hodaglove
0,Zach Morton
01,Aidan Obregon
02,Isaac Gamble
03,Graeme Alexander
06,Nicholas Tangwall
08,Carson Batchelor
11,Mark Nelson
12,Jack Dipaolo
13,Max Heirigs
14,Simi Fadiran
18,Jacob Sak
20,Samatv Iyer
22,Yiran Li
23,Seth Flikke
24,Jude Ogden
25,Kyle West
26,Saul Diaz
32,Aiden Martinsen
33,Caleb Sanders
34,Aaron Stettner
38,Noah Petersen
47,Matteo Meyer
60,Joshua Ho
62,Jacob Ho
b,r,e,a,k
Middlebury,4
teamInfo,Pranksters,"Middlebury, Vermont",https://go.middlebury.edu/prankstersultimate,https://www.facebook.com/MiddleburyPranksters,https://twitter.com/pranksters69
0,Anders Weber
0,Avery Hackett
0,Hayden Herrick
0,Lucas Nerbonne
0,Michel Abboud
0,Nadav Melamede
0,Panhan Chen
0,Ryan Muller
0,Theo Holdsworth
1,Max Chalfin-Jacobs
3,Charles Harder
5,Vincent Sullivan
10,Luke Staples
11,Jack DiCola
13,Peter Mans
14,Oscar  de Swaan Arons 
15,Ned Cutler
17,Aidan DeLorenzo
20,Calder Lange
21,Jasper Pearcy-Kahn
25,Louis Douville Beaudoin
47,Liam Reynolds
53,Jorre Dahl
81,Geir Hartl
83,Gavin Rice
b,r,e,a,k
Dartmouth,8
teamInfo,Pain Train,"Hanover, New Hampshire",https://sites.dartmouth.edu/ultimatefrisbee/paintrain/,,https://twitter.com/DMouthPainTrain
0,Ben Kleinman
0,Benjamin Zhao
0,Cameron Cowperthwaite
0,Henry Moore
0,Isaiah Bradner
0,Javier Baluyut
0,Jonathan Lewis
0,Kristian Feed
0,Linus Law
0,Micah Angehr
0,Oliver Smith
0,Oliver Kirsch
0,Omar Sharief
0,Simeon Hartman
0,Tom Sankovitz
0,Walker Ball
0,William Chapin
10,Josiah Angehr
11,Alexander Fick
13,James Flaggert
33,Drew Loughnane
59,Benjamin Jenkins
b,r,e,a,k
Texas,2
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
coaches,Calvin Lin
0,Dillon Doubrava
0,Elliot Ylagan
0,Aidan Young
0,Joshua Cremer
0,Jules Langert
0,Pavel Kraus
0,Rohan Kotha
0,Mitchell Blaha
0,Ty Little
0,Zachary White
3,Aaron Barcio
5,Owen Smith
6,Kellen Watts
7,Saif Ansari
9,Rushil Randhar
10,Xavier Fuzat
15,Soh Nishiyama
17,Henry Charbeneau
