Southeast D-I College Men's Regionals,College - Men ,26,4,2025
Decatur,AL,2025-04-26,2025-04-27
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2025/schedule/Men/CollegeMen/
Georgia,1
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
00,Aaron Reeves
00,Azim Kanjiyani
00,Carson Owen
00,Daniel Myatt
00,Ethan Polk
00,Evan Amon
00,Garrett Nix
00,Gavin Collins
00,Gray King
00,Grayson Smith
00,Isaac Warren
00,Kody Shively
00,Lee Thomas
00,Matthew Melton
00,Noah Gill
00,Robert Johnson
00,Ron Warren
00,Ruston Bassett
00,Jared Eudy
00,Joshua Reed
00,Joshua Rigby
00,Justin Evans
00,William Appleby
05,Tyler Riemer
08,Jake Givens
20,Trent Baldwin
25,Kenneth Tyburczy
b,r,e,a,k
Emory,4
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
00,Dean Damon
00,Gabriel Hall
00,Grayson Stone
00,Isaac Huntington
00,Jacob Sencer
00,Jason Evans
00,Jerry  Hong
00,Joel Lee
00,Kai Diez
00,Kaicheng Chen
00,Krish Patel
00,Lucas Kim
00,Lucas Gunzberg
00,Miguel Urena
00,Nolan Baxendell
00,Reece Davidman
00,Aidan Baris
00,Cooper Deschenes-Worboy
00,Ricky Davis
00,Sean lin
00,Theodore (Cisco) Harrison
00,Daniel Monterroso
14,Toby Fuller
15,Daniel Kotelanski
20,Ammon Longenecker
22,Warren Chang
26,Jesse Rider
28,Daniel Nickas
95,Reed Karman
b,r,e,a,k
Alabama-Birmingham,16
teamInfo,Inferno,"Birmingham, Alabama",,,
00,Abraham Sun
00,Allan Louis-Jeune
00,Allex Pulido
00,Ari Louis-Jeune
00,Armond Loiseau
00,Asaad Mohmoud
00,Benjamin Locks
00,Christian Hicks
00,Christian Johnson
00,Jalen McDade
00,John Kicklighter
00,Joseph Rubin 
00,Joseph Sucgang
00,Joshua  Le
00,Kevin Ori
00,Lee Miller Jr
00,Noah Norris
00,Parker Magonigal
00,Rukat Busambwa
00,Ryder Dorsey
00,Samuel Lee
00,Thomas Suarez
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Georgia,South Florida,15,7,"04/26/2025, 09:00",Pool A,Final
Alabama,Florida State,15,10,"04/26/2025, 09:00",Pool A,Final
Georgia,Florida State,15,10,"04/26/2025, 11:00",Pool A,Final
Alabama,South Florida,15,13,"04/26/2025, 11:00",Pool A,Final
Georgia,Alabama,15,12,"04/26/2025, 13:00",Pool A,Final
South Florida,Florida State,10,15,"04/26/2025, 13:00",Pool A,Final
pool,Pool B
Georgia Tech,Mississippi State,15,11,"04/26/2025, 09:00",Pool B,Final
Florida,Central Florida,15,10,"04/26/2025, 09:00",Pool B,Final
Georgia Tech,Central Florida,15,4,"04/26/2025, 11:00",Pool B,Final
Florida,Mississippi State,14,10,"04/26/2025, 11:00",Pool B,Final
Georgia Tech,Florida,15,9,"04/26/2025, 13:00",Pool B,Final
Mississippi State,Central Florida,14,15,"04/26/2025, 13:00",Pool B,Final
pool,Pool C
Ave Maria,Tennessee-Chattanooga,15,9,"04/26/2025, 09:00",Pool C,Final
Alabama-Huntsville,LSU,13,8,"04/26/2025, 09:00",Pool C,Final
Ave Maria,LSU,11,10,"04/26/2025, 11:00",Pool C,Final
Alabama-Huntsville,Tennessee-Chattanooga,14,10,"04/26/2025, 11:00",Pool C,Final
Ave Maria,Alabama-Huntsville,13,12,"04/26/2025, 13:00",Pool C,Final
Tennessee-Chattanooga,LSU,15,10,"04/26/2025, 13:00",Pool C,Final
pool,Pool D
Emory,Auburn,13,14,"04/26/2025, 09:00",Pool D,Final
Tulane,Alabama-Birmingham,13,12,"04/26/2025, 09:00",Pool D,Final
Emory,Alabama-Birmingham,15,8,"04/26/2025, 11:00",Pool D,Final
Tulane,Auburn,15,10,"04/26/2025, 11:00",Pool D,Final
Emory,Tulane,11,13,"04/26/2025, 13:00",Pool D,Final
Auburn,Alabama-Birmingham,15,4,"04/26/2025, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place (Game-to-Go)
Georgia,Georgia Tech,14,12,"04/27/2025, 13:00",Championship Game,Final
Georgia,Tulane,15,10,"04/27/2025, 11:00",Semifinals,Final
Auburn,Georgia Tech,8,15,"04/27/2025, 11:00",Semifinals,Final
Georgia,Florida,15,10,"04/27/2025, 09:00",Quarterfinals,Final
Tulane,Central Florida,15,8,"04/27/2025, 09:00",Quarterfinals,Final
Ave Maria,Auburn,10,14,"04/27/2025, 09:00",Quarterfinals,Final
Georgia Tech,Emory,15,10,"04/27/2025, 09:00",Quarterfinals,Final
Florida,Tennessee-Chattanooga,14,10,"04/26/2025, 15:00",Prequarters,Final
Alabama-Huntsville,Central Florida,12,13,"04/26/2025, 15:00",Prequarters,Final
Auburn,Florida State,15,8,"04/26/2025, 15:00",Prequarters,Final
Alabama,Emory,10,15,"04/26/2025, 15:00",Prequarters,Final
bracket,3rd Place
Tulane,Auburn,10,15,"04/27/2025, 13:00",3rd Place Game,Final
bracket,5th Place
Central Florida,Ave Maria,0,0,"04/27/2025, 13:00",5th Place Game,Scheduled
Florida,Central Florida,0,0,"04/27/2025, 11:00",5th Place Play-Ins,Final
Ave Maria,Emory,15,13,"04/27/2025, 11:00",5th Place Play-Ins,Final
bracket,7th Place
Central Florida,Emory,0,0,"04/27/2025, 13:00",7th Place Game,Scheduled
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place
Tennessee-Chattanooga,LSU,11,13,"04/27/2025, 13:00",Consolation Championship,Final
Tennessee-Chattanooga,Alabama-Huntsville,12,11,"04/27/2025, 11:00",Consolations Semis,Final
LSU,Mississippi State,13,11,"04/27/2025, 11:00",Consolations Semis,Final
South Florida,Tennessee-Chattanooga,10,14,"04/27/2025, 09:00",Consolation Quarters,Final
Alabama-Birmingham,Alabama-Huntsville,9,13,"04/27/2025, 09:00",Consolation Quarters,Final
LSU,Florida State,14,12,"04/27/2025, 09:00",Consolation Quarters,Final
Mississippi State,Alabama,15,13,"04/27/2025, 09:00",Consolation Quarters,Final
bracket,11th Place
Alabama-Huntsville,Mississippi State,0,1,"04/27/2025, 13:00",11th Place Game,Final
bracket,13th Place
Alabama-Birmingham,Alabama,7,11,"04/27/2025, 13:00",13th Place Game,Final
South Florida,Alabama-Birmingham,9,14,"04/27/2025, 11:00",13th Play-Ins,Final
Florida State,Alabama,11,15,"04/27/2025, 11:00",13th Play-Ins,Final
bracket,15th Place
South Florida,Florida State,0,0,"04/27/2025, 13:00",15th Place Game,Cancelled
b,r,e,a,k
