Metro East D-I College Men's Regionals,College - Men ,26,4,2025
Middletown,NY,2025-04-26,2025-04-27
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2025/schedule/Men/CollegeMen/
Cornell,1
teamInfo,Buds,"Ithaca, New York",https://www.instagram.com/budsultimate/,https://www.facebook.com/CornellBudsUltimate/,https://twitter.com/BudsUltimate
00,Bobby Henkelmann
00,Davith  Chan
00,Alexander Schatzberg
00,Ethan Roitman
00,Kazim Hall
00,Mason Raffo
00,Maxwell Majersik
00,Meris Goldfarb
00,Nate Haris
00,Nathaniel Chin
00,Ryan Rockett
00,Sam Karmarkar
00,Zachary Cheslock
00,Zack Kok
01,Simon Alford
02,Spencer Peters
03,Parker Ashworth
06,Thomas Meyer
08,Jacob Groner
15,Dylan Kenniff
20,Dylan Winchell
22,Tyler Sprague
24,Ka Lok Ethan Lau
27,Benjamin Nusbaum
47,Ren Kondo
77,Lewis Sisler
81,Matthew Hui
88,Iram Liu
99,Milo Rappoport
b,r,e,a,k
Toronto,8
teamInfo,TULA,"Toronto, Ontario  CA",,,https://x.com/TulaUltimate
0,Alfred Xue
0,Alicia Zhang
0,Rosario Wong
00,Ryan Spagnolo
00,Kevin Shen
00,Matthew Gomez Bertolacci
00,Suvaan  Aggarwal
00,Winston Chieng
00,Yunxuan Xue
00,Adam Mong
00,Aravind Subramanian
00,Aujin Li
00,Cecil Kwan-ho Cheung
00,David Pan
00,David Yeung
00,David Ramsay
00,Declan Jackson
00,Derek Yu
00,Eduard Haertel
00,Emily Zhang
00,Graham McDonald
00,Jack Wilkie
00,Jessica Gao
00,JiaDe Zhang
00,Joseph  Hill
27,Karma Namgyal
69,Sushaan Patel
b,r,e,a,k
Princeton,12
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Asher Liss
0,Douglas Schwartz
0,Andrew Kasky
0,Jason Chinitz-Mital
0,Jonathan Tran
0,Megan Morales
0,Roni Shaham
00,Ryan Kirby
00,Samuel Hilbert
00,Sean Hession
00,Tam Tran
00,Will Norton
00,Aiden Quayle
00,Na'im Ahdieh
00,Kushaan Bahl
00,Mark Gazzerro
00,Jeffrey Cheng
00,John Van Horn
00,Andrew Lord
00,Andrew Oliver
00,Ehtesham Suhail
00,Isaiah Fletcher
00,Jack Noymer
00,Brendan McCluskey
00,Christian Ganter
00,Dane Utley
b,r,e,a,k
Central Connecticut State,13
teamInfo,Yetis,"New Britain , Connecticut",,,
00,Brendan Leone
00,CJ Rodgers
00,Darrell Gorneault
00,Gavin Fraczek
00,Harrison Silverman
00,Jack Ciaglo
00,Logan Konopka
00,Luke Dolio
00,Noah Roy
00,Patrick Paules-Harrold
00,Philip Mack
00,Quinn Cotton
00,Ricky McBride
00,Rodrigo  Portal 
00,Ryan Cappella
00,Sam Iselin
00,Shea Cronin
00,Travis McClay
b,r,e,a,k
Ottawa,2
teamInfo,Gee-Gees,"Ottawa, Ontario CA",,https://www.facebook.com/GeeGeeMensFrisbee,
coaches,Luke Phelan,Habib Atallah,Desmond Staples
00,Nicholas Gohar
00,Noah Berube
00,Roth Mohring
00,Ryan Burns
00,Samuel Tremblay-Larochelle
00,Shaun Owen-Usher
00,Terron Ross
00,Theo Gobeil
00,Tristan Roy
00,Vijuut Giritharan
00,Alex Bailey
00,Charles-Etienne Merizzi
00,Ennio Ciambella
00,Jaden Fielding
00,Kaeden Ireland
00,Kaleb Schakelaar
00,Marc-Antoine Larouche
09,Logan Keillor
18,Mathis Turgeon-Roy
83,Maxime Ayad
b,r,e,a,k
RIT,7
teamInfo,RIT Spudheds,"Rochester, New York",,http://www.facebook.com/ritspudheds,http://www.twitter.com/spudheds
00,Kevin Botsis
00,Liam Jensen
00,Logan Kelly
00,Max Deng
00,Michael McNeil
00,Nathan Begly
00,Nicholas Deis
00,Noah Van Scoy
00,Patrick Collins
00,Paul Anzelone 
00,Ricardo Flores
00,Rio Coursen
00,Ross  Janezic 
00,Ryan McManus
00,Stephen Sampson
00,Tucker Routenberg
00,Tyler Gardner
00,Bailey Sweetser
00,Ben Wingerter
00,Bryce Roman
00,Cooper Pinaud
00,Declan Sales
00,Ethan Denlinger
00,Ethan Iannicelli
00,Ethan Silver-Riskin
00,Ian Thompson
00,Isaac McClelland
00,Jack Lowrey
00,James Jordan
00,Joseph  Carney
00,Aarav Patel
00,Adam Rigdon
00,Alden Birkett
00,Andrew Wagner
14,Kameron Kuszlyk
34,Adrian Ricketts
47,Anthony Patti
b,r,e,a,k
NYU,11
teamInfo,New York University,"New York, New York",,https://www.facebook.com/nyuhaze,https://twitter.com/NYUpurplehaze
0,Gulliver Redd
0,Shuqiao Gao
0,Zhanbo Wang
00,Ziming Wang
00,Ziqi Zhao
00,Tamir Gray
00,Walker McGinley
00,Alfardil Alam
00,Andy Shi
00,Chen Yang
00,Eddie Kim
00,Ethan Wang
00,Evan D'Souza
00,Gavin Zhao
00,Grant Loehrke
00,Kyle  He
00,Maheen Rassell
00,Michael  Ji
00,Nicholas DeFilippis
00,Nicolas Wong
00,Pranav Chivukula
00,Romeo Hendel
00,Sam Rawdon
13,Miles Katz
16,Justin Cheung
20,Clyde Lartey
b,r,e,a,k
Rowan,14
teamInfo,Ruf Riders,"Glassboro, New Jersey",https://www.instagram.com/rowan.ultimate/,https://www.facebook.com/RowanUltimate,https://twitter.com/Rowan_Ultimate
00,Brennan Coulton
00,Chazz Ruiz
00,Colin Graves
00,Ian Gustavson
00,Kyle Cahill
00,Miles Dawson
00,Oliver Conrad
00,Stephen  Fasolo 
06,John Hayes
07,Lucas Thomas
10,Robert Callahan
11,Nicholas Raguseo
13,Anthony  Callahan
14,Ryan McManus
17,Francis Luby
18,Christopher Cocciadiferro
22,Ryan Cook
24,Benjamin Idzahl
25,Liam Mitchko
28,Logan Trayner
31,Timothy Jennings
33,Brendan Engelhardt
99,Russell Williams
b,r,e,a,k
Columbia,6
teamInfo,Uptown Local,"New York, New York",http://www.columbia.edu/cu/ultimate/?DB_OEM_ID=9600,https://www.facebook.com/CU.uplo/,https://twitter.com/CU_Uplo
00,Aaron Bruce
00,Arvind Nagabhirava
00,Benjamin Wang
00,Carl Gross
00,Carlos Cepeda-Diaz
00,Daniel Esler
00,Danny Klein
00,Derek Chen
00,Derrick Aznar
00,Ezra Gordon
00,Isaac Stiepleman
00,Jackson Bramlette
00,James Byrd
00,Jinming Liu
00,Julian Esler
00,Kei Obata
00,Leonid Zubarev
00,Luke Holtzman
00,Owen Dulac
00,Philip Rollhaus
00,Rocco Vitalone
00,Vincent Harwood
00,William Chung Park
00,Ying-Chi Chen
00,Zane Harbison
00,Ziming Yi
b,r,e,a,k
Connecticut,3
teamInfo,UConn Huskies,"Storrs, Connecticut",https://www.instagram.com/uconnultimate/,,https://twitter.com/UConnMensUlti
coaches,Jeremy Bernier
00,Alexander Manos
00,Andrew Wanzenried
00,Benjamin Joseph
00,Coleman Ross
00,David Jones
00,Dillon Burke
00,Dominic Rendero
00,Emmett Bandzak
00,Eviatar Ashkenazi
00,Jaden Sailer
00,Jiahao Wang
00,John Mathew
00,John Carrenard
00,Joshua Kaplan
00,Malcolm Ferguson
00,Nicholas Lambert
00,Philip Nelson
00,Rufus Abraham
00,Ryan Miller
00,Sam O'Sullivan
00,Sean Colello
00,Tim Ayers
00,Will Dougherty
b,r,e,a,k
SUNY-Albany,10
teamInfo,SCAM,"Albany, New York",https://www.instagram.com/ualbanyultimate/,,
00,Christopher Bethea
00,Brandon  Patanjo
00,John Ruoff
00,Justin Ault
00,Owen Castor
00,Pierce O'Connell
01,Ian Johnson
04,Daniel Bishop
06,Miguel Leal
10,Abdulraouf Kablaoui
11,Jacob Buono
13,Ryan Deveraux
14,Luke Lohrfink
16,Luke Youngmann
17,Tyler Stack
24,Nathaniel Wheeler
25,Eddie Penna
88,Evan Gorthy
99,Chris Cooney
b,r,e,a,k
Hofstra,15
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
00,Julia Mills
00,Matthew Arshad
00,Parker Hipp
00,Robert Shea
00,Robert Beanland
00,Sam Gibney
00,Steven Samuel
00,Will Jones
00,Christopher  Shea 
00,David Addison
00,Eevie Silvia
00,Finn Mathews
00,Jake Olney
38,Caleb Rockhill
57,Joseph Cicione
b,r,e,a,k
Syracuse,9
teamInfo,Doom,"Syracuse, New York",,,
00,Alexander O’Neil
00,Arthur Maiorella
00,Casey Kelley
00,Charles Aubitz
00,Christopher Kilbridge
00,David Urban
00,Dean Lourenco
00,Eamon Conneely
00,Julian  Boscoo
00,Kfir Shoham
00,Matt Latvis
00,Matthew Pepper
00,Nathaniel Buskirk
00,Nicholas Rubino
00,Noah Sullivan
00,Quinn Daly
00,Risen Zhang
00,Ross DiOrio
00,Samuel Sutton
00,Sawyer Falkenbush
00,Grady Bosch
02,Griffin Spear
07,James Tibolla
33,John Vanderwege
69,Frank Tan
b,r,e,a,k
Yale,4
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
00,Alec Brainard
00,George Bruce
00,Hanson Qin
00,Jack Cloherty
00,Javier Pardo
00,Manuel Bosteels
00,Nic Spangler
00,Rishabh Garg
03,Owen Hathaway Hacker
04,Jack Griffin
07,Zubin Birnbach
08,John Kiely
09,Nayan Birnbach
13,Ben Chaimberg
15,John Timmers
18,Micah Derringer
19,Thomas Venarde
22,Robert Hodges
26,George Cheung
28,Eric Bormann
31,Aman Jain
33,Ayden Lee
36,Henry Berger
47,Zaki Siraj
99,Carson Punt
b,r,e,a,k
Rutgers,5
teamInfo,Machine,"New Brunswick, New Jersey",rutgersultimate.com,,
coaches,Shashank Alladi,Alec Bakholdin,Dmitry Suvorov
0,Perry Chu
00,Joseph Alfarano
00,Matthew Jean
00,Avi Torres
00,Brian Barry
00,Charles Conner
00,Christopher Iglesias
00,Ammar Danish
00,Evan Ragone
00,Tiancheng Dong
00,Tyler Mackey
00,Yongqin Feng
07,Vishal Anand
18,Shiloh Duan
20,Jakob Lehmann
24,Mohammed Danish
27,Jinhu Chung
45,Michael Supple
69,Patrick Zong
69,Ryan  Jawor 
69,Gerard Bryson
69,Gianluca Pagano
69,Arthur Liaw
69,Daniel Han
86,Jason Furbee
b,r,e,a,k
Connecticut (B),16
teamInfo,Grind,"Storrs, Connecticut",,,https://twitter.com/UConnUltimateB
00,Abhinav Chandrasekhar
00,Andrew Ungar
00,Ari Sobel-Pressman
00,Brian Kinasewitz
00,Charles Pinchera
00,Charles Pollard
00,Collin Holness
00,Daniel Drlik
00,David Kallberg
00,Gabriel Jackson
00,Hao Wang
00,Henry Carlson
00,Jack Lange
00,Joel Harris
00,John Sylvain
00,John Byrne
00,John Womelsdorf
00,Logan Barrett
00,Matthew Caro
00,Neev Maru
00,Patrick Pagano
00,Ryan Matan
00,Ryan Chan
00,Thomas Maxwell
00,Trevor Jones
00,Von Lindenthal
00,William Turgeon
00,Yinan Cao
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Cornell,Princeton,15,8,"04/26/2025, 09:00",Pool A,Final
Toronto,Central Connecticut State,15,5,"04/26/2025, 09:00",Pool A,Final
Cornell,Central Connecticut State,15,3,"04/26/2025, 11:00",Pool A,Final
Toronto,Princeton,15,6,"04/26/2025, 11:00",Pool A,Final
Cornell,Toronto,15,10,"04/26/2025, 13:00",Pool A,Final
Princeton,Central Connecticut State,15,9,"04/26/2025, 13:00",Pool A,Final
pool,Pool B
Ottawa,NYU,15,0,"04/26/2025, 09:00",Pool B,Final
RIT,Rowan,15,9,"04/26/2025, 09:00",Pool B,Final
Ottawa,Rowan,15,3,"04/26/2025, 11:00",Pool B,Final
RIT,NYU,15,10,"04/26/2025, 11:00",Pool B,Final
Ottawa,RIT,15,8,"04/26/2025, 13:00",Pool B,Final
NYU,Rowan,13,8,"04/26/2025, 13:00",Pool B,Final
pool,Pool C
Connecticut,SUNY-Albany,14,13,"04/26/2025, 09:00",Pool C,Final
Columbia,Hofstra,15,5,"04/26/2025, 09:00",Pool C,Final
Connecticut,Hofstra,15,0,"04/26/2025, 11:00",Pool C,Final
Columbia,SUNY-Albany,15,7,"04/26/2025, 11:00",Pool C,Final
Connecticut,Columbia,10,11,"04/26/2025, 13:00",Pool C,Final
SUNY-Albany,Hofstra,15,8,"04/26/2025, 13:00",Pool C,Final
pool,Pool D
Yale,Syracuse,12,15,"04/26/2025, 09:00",Pool D,Final
Rutgers,Connecticut (B),15,3,"04/26/2025, 09:00",Pool D,Final
Yale,Connecticut (B),15,5,"04/26/2025, 11:00",Pool D,Final
Rutgers,Syracuse,7,14,"04/26/2025, 11:00",Pool D,Final
Yale,Rutgers,15,9,"04/26/2025, 13:00",Pool D,Final
Syracuse,Connecticut (B),15,6,"04/26/2025, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Cornell,Ottawa,8,15,"04/27/2025, 13:00",Finals/ Game to Go,Final
Cornell,Syracuse,14,9,"04/27/2025, 11:00",Semifinals,Final
Yale,Ottawa,10,11,"04/27/2025, 11:00",Semifinals,Final
RIT,Cornell,8,9,"04/27/2025, 09:00",Quarterfinals,Final
Connecticut,Syracuse,9,14,"04/27/2025, 09:00",Quarterfinals,Final
Yale,Columbia,15,13,"04/27/2025, 09:00",Quarterfinals,Final
Toronto,Ottawa,3,15,"04/27/2025, 09:00",Quarterfinals,Final
RIT,SUNY-Albany,15,14,"04/26/2025, 15:00",Prequarters,Final
Connecticut,NYU,13,8,"04/26/2025, 15:00",Prequarters,Final
