2025 Commonwealth Cup Weekend 1,College - Men ,15,2,2025
Axton/Martinsville,VA,2025-02-15,2025-02-15
https://play.usaultimate.org/events/2025-Commonwealth-Cup-Weekend-1/schedule/Men/CollegeMen/
Liberty,2
teamInfo,Flames,"Lynchburg, Virginia",,,https://twitter.com/LUmensUltimate
coaches,Kevin Habermas
0,Andrew Brechner
0,Berg Swanson
0,brody johnson
0,Caleb Shirk
0,Ciaran Donovan
0,Connor Eberhart
0,Daniel Erickson
0,Emerson Sites-Byers
0,Harrison  Ohmsieder
0,Isaiah  Riddle
0,Jack Anders
0,Luke Overlie
0,Luke Carlsen
0,Marquise Jackson
0,Micah Moore
0,Parker Trumbo
0,Sterling Payne
0,Tyler Burton
1,Rupert Armentrout
5,Kennedy Wilson
11,Andrew Peters
12,Greg Perez
58,Ian Rankin
b,r,e,a,k
North Carolina State (B),15
teamInfo,SixPack,"Raleigh, North Carolina",,,@NCSUSixPack
coaches,Matthew Raskind
0,Blaine Garner
0,Charan  Relangi
0,Graden  O’Connor
0,Maddox Bass
0,Walker McDonald
1,Ryan Chen
5,Noah Anderson
6,James Heritage
7,Justin Wieties
03,John Morris
07,Elias Williamson
11,Cameron Beaver
12,Ian VandeLinde
13,Joshua Hester
14,Noah Lennon
16,Noah Lawrence
17,Graham Bass
21,Connor Langley
22,Matthew Degele
25,Caleb Hofheinz
28,Benjamin Litterio
29,Alex Hammond
34,Cameron MacDougall
48,Charles Brooks
52,Thomas Baumler
62,Rhett Stevens
69,Bryson Bowen
89,Jackson  Driver 
b,r,e,a,k
Oberlin,3
teamInfo,Flying Horsecows,"Oberlin, Ohio",https://sites.google.com/oberlin.edu/flyinghorsecows/home,https://www.facebook.com/OberlinUltimate,https://x.com/horsecows
03,Bruno Becker
04,Ben Fuguet
07,Issei Robinson
08,Zubin Ghoshal
09,Jonah Feinstein
10,Benjamin Eichner
11,Sydney Lewis Levin
12,Simon Korotzer-Mariani
13,Saxon Egge
14,Levi Putnam
20,Ryan Fontanez
22,Luke Bennett
23,Ryan Ward
24,Shaswat Gajurel
25,Alexander Hunkins
29,Tomas Rodriguez
35,Adam Wright
52,Aaron Bedi
55,Bix Weissberg
60,Miya Liang
66,Jackson Penney
71,Sebastien Kline
87,Jack Ryan
95,Hyunbin An
99,Soren Callahan
b,r,e,a,k
West Virginia,10
teamInfo,WV Wild,"Morgantown, West Virginia",https://www.instagram.com/wvu.ultimate/?hl=en,https://www.facebook.com/WVUltimate,https://twitter.com/WVUltimate
02,William Reynolds
05,Bryce Cooper
06,ALEX PARLOCK
08,Aiden Ballard
10,Nate Robinson
11,Payton McMillan
12,Gary Slagle
14,Nathaniel O'Brien
15,Mason Rittinger
16,Bryce Lester
17,Nathan Schlegel
19,Brian Ngo
21,Tyler Saville
42,Vincent Bordash
45,Micah Owen
54,Raymond Keith
69,Michael Pellock
b,r,e,a,k
Davenport,1
teamInfo,Panthers,"Grand Rapids, Michigan",https://dupanthers.com/sports/ultimate-frisbee,,
coaches,Mike Zaagman,Melissa Witmer
0,Connor Lodholtz
0,Connor Concannon
0,Darren Dyer
0,Ian Neal
0,Jacob Felton
0,Jahiem Upchurch
0,James Pekel
0,Aidan Williams 
0,Alex Ballentine
0,Amir Sims
0,Jonathan Newman
0,Juraj Hurny
0,Kai Creed
0,Collin Colegate
0,Miguel  Suarez
0,Noah Schade
0,Noah Callewaert
0,Richard Dragicevich 
0,Rowan Jamieson
0,Samuel Rysko
0,Tyler Shanahan
1,Kevin Rogers
1,John Peterson
2,Kale Peterson 
25,Collin Hill
30,Conner Millison
88,Andrzej Porter
b,r,e,a,k
South Carolina (B),16
teamInfo,South Carolina,"Columbia, South Carolina",,,https://twitter.com/DirtyBirdsUSC
8,Aspen Levine
09,Jack Connor
12,Matthew Hitchcock
17,Drayson Macdonald
20,Nathan Skinner
29,Liam Chandler
30,Drew Percy
32,Jared Kristall 
37,Joshua Blase
39,Hayden Fulcher
43,Victor Alfieri
44,Zion Payne
46,Christian  Wolff
50,Trotter Roberts
54,Kevin Howrigan
55,Ryan Hays
59,Colin Quinn
66,George Cerimele
73,Nathan Gurwitz
75,Logan Eidell
77,Reid Grizzle
80,Alex Salguedo
81,Jason Skau
84,Noah Pflugrath
85,Trey Thomas
88,Derek Rosenbaum
95,Evan Maluszczak
97,Morgan Ramirez
98,Kaden Moracco
b,r,e,a,k
Elon,4
teamInfo,Big Fat Bomb,"Elon, North Carolina",http://elonultimate.wix.com/bigfatbomb,https://www.facebook.com/ElonUltimate/,https://x.com/elon_ultimate
0,Brayden Morrison
0,Camden Perkins
0,Joseph Sweeney
0,Keegan McCann
0,Lukas Koch
0,Murph Lennemann
0,Parks Roper
0,Tyler Strenk
3,Justin Brader-Araje
5,Alex Frame
6,Jacob Bean
7,Benjamin Patterson
8,Brady Jackson
11,Myles Sawin
12,Toren Coulter
13,Nic Fillippa III
17,Jackson  Basile
20,Danny Stern
21,Reed Burkert
23,Ben Bronstein
24,Kalen Morrison
33,Jacob Lairson
47,Nathaniel Kelly
55,Oscar Kardon
62,Aden Balser
69,Benjamin Farmer
b,r,e,a,k
Denver,7
teamInfo,Sourdough,"Denver, Colorado",https://denversourdough.wixsite.com/du-sourdough,,
0,Andrew Lukasewycz
1,Justin Blake
3,Zach Braunstein
5,Jason Kaplan
7,Tobias Holme
9,Jack Sanda
10,Gavin Stevens 
11,Mason Charney
12,Cooper Antin
13,Avery Fowler
14,Dalton Ward
16,Noam Halpern
21,Carver Ward
22,Egan Doherty
45,Zac Wise
52,Alexander Fleming
95,Noah Alleman
b,r,e,a,k
Ohio,8
teamInfo,Trout,"Athens, Ohio",,https://www.facebook.com/ohioultimate/,https://twitter.com/OUultimate
0,Brogen Kapela
0,Declan Haas
0,Henry Wollerman
0,Jack Meermans
0,Jackson Yeager
0,james brennan
0,Jeff Shultz
0,Justin Clement
