Antlerlock 2025,Club - Mixed ,28,6,2025
Essex Junction,VT,2025-06-28,2025-06-29
https://play.usaultimate.org/events/Antlerlock-2025/schedule/Mixed/Club-Mixed
Big Rig,1
teamInfo,,"Burlington, Vermont",,,
0,Anna Isselhardt
0,Bryce Lublin
0,Cale Ellingson
0,Grant Goodale
0,Izzy Laramee
0,Kayla Tashiro
0,Krane Davis
0,Maren Hennessy
0,Maximilian Fontana
0,Jovan Strange
0,Seth Fisher-Olvera
1,Innocent Ndikuriyo
2,Erik Arnold
3,Zoe Bishop
4,Wyatt Smith
9,Meribel Collin
9,Jack Rice
10,Isabelle Alfano
17,Scout Harper
18,Ella Polli
19,Beorn Morrow-Caron
99,Kalei Foley-Rutherfurd
b,r,e,a,k
Hartford Current,16
teamInfo,,"Hartford, Connecticut",,,
0,Anika Alschuler
0,Anna Abou-Francis
0,Brendan Slack
0,Darrell Gorneault
0,David Sands
0,Amanda Sagers
0,Elizabeth Garten
0,Hyun Kyung Lee
0,Katherine Wright
0,Kayla Pollman
0,LaMar Anderson
0,Makayla  Hone 
0,Michael Cuan
0,Rufus Abraham
0,Stanley Franzik
0,Travis McClay
0,Jessica Hart
7,Jessica Hatrick
10,Andrew Fogil
13,Amelia Colombo
13,Umang Gangwar
14,Dominic D'Aurio
26,Joshua Kennedy
43,Joshua Kish
b,r,e,a,k
T Party,9
teamInfo,,"Boston, Massachusetts",www.instagram.com/tpartyultimate,,www.twitter.com/tpartyultimate
0,Andy Yu
0,Ashley Chen
0,Candace Adelberg
0,Colbryn Waggoner
0,Colby LaGrassa
0,Ian Cutler
0,Ian Campbell
0,Isabel Cummings
0,Kelly Wu
0,Marley Dickson
0,Nisha Nayak
0,Richard Atkins
0,Sam Hurley
0,Sean Fallon
0,Simret Semine
0,Sydney Weiner
0,Tien-Tien Chan
6,Aidan Ahern
8,Piper Van Kerkhove
13,Sarah Antilla
20,Jacob Maynard
26,Souichi Terada
99,Miles Cruice-Barnett
b,r,e,a,k
Lampshade,8
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Abijith Krishnan,Axis Sivitz
0,Bobby Lovitch
0,Corinna Rhum
0,Emily Wanzer
0,Abe Kielar
0,Jennifer Fiore
0,Molly Rockwood
0,Rachel Swindell
0,Robert Shapiro
0,Liz Anusauskas
0,Varun Shah
0,Walden Ng
6,Justinne Guarin
20,Kevin Murphy
24,Sajani Clerk
26,Jackson Gillenwaters
33,Rossi Wang
37,Anna Shorb
39,Victoria Zhang
44,Eric Freitag
69,Man Nguyen
b,r,e,a,k
Sugar Shack,17
teamInfo,,"Burlington, Vermont",,,
0,Catherine Knott
0,Cecilie Macpherson
