2025 Select Flight Invite - West,Club - Men ,26,7,2025
Burlington,WA,2025-07-26,2025-07-27
https://play.usaultimate.org/events/2025-Select-Flight-Invite---West/schedule/Men/Club-Men/
Furious George,1
67,Matt Rix
81,Ryan Wolfe
82,Lucas Henry
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Furious George,Blackfish,14,5,"07/26/2025, 10:45",Pool A,Final
Hazard,Swordfish,10,11,"07/26/2025, 10:45",Pool A,Final
Furious George,Swordfish,15,3,"07/26/2025, 12:30",Pool A,Final
Hazard,Blackfish,10,9,"07/26/2025, 12:30",Pool A,Final
Furious George,Hazard,15,5,"07/26/2025, 14:15",Pool A,Final
Blackfish,Swordfish,12,10,"07/26/2025, 14:15",Pool A,Final
pool,Pool B
Kansas City Smokestack,Wavestorms,11,10,"07/26/2025, 09:00",Pool B,Final
Sawtooth,Seven Gills,13,12,"07/26/2025, 09:00",Pool B,Final
Kansas City Smokestack,Seven Gills,12,11,"07/26/2025, 12:30",Pool B,Final
Sawtooth,Wavestorms,12,14,"07/26/2025, 12:30",Pool B,Final
Kansas City Smokestack,Sawtooth,10,14,"07/26/2025, 14:15",Pool B,Final
Wavestorms,Seven Gills,15,10,"07/26/2025, 14:15",Pool B,Final
pool,Pool C
OAT,Make it Rain,15,13,"07/26/2025, 09:00",Pool C,Final
Red Lotus,Junco,13,15,"07/26/2025, 09:00",Pool C,Final
OAT,Junco,15,10,"07/26/2025, 10:45",Pool C,Final
Red Lotus,Make it Rain,15,12,"07/26/2025, 10:45",Pool C,Final
OAT,Red Lotus,15,11,"07/26/2025, 12:30",Pool C,Final
Make it Rain,Junco,14,12,"07/26/2025, 12:30",Pool C,Final
pool,Pool D
Trident,Zyzzyva,8,15,"07/26/2025, 09:00",Pool D,Final
SOUF,Portland TremOR,12,15,"07/26/2025, 09:00",Pool D,Final
Trident,Portland TremOR,15,13,"07/26/2025, 10:45",Pool D,Final
SOUF,Zyzzyva,15,12,"07/26/2025, 10:45",Pool D,Final
Trident,SOUF,8,15,"07/26/2025, 12:30",Pool D,Final
Zyzzyva,Portland TremOR,12,10,"07/26/2025, 12:30",Pool D,Final
b,r,e,a,k
brackets,Select Flight Invite West Championship
bracket,Championship
Furious George,SOUF,0,0,"07/27/2025, 10:15",Semifinals,Scheduled
OAT,Blackfish,0,0,"07/27/2025, 10:15",Semifinals,Scheduled
Furious George,Wavestorms,15,8,"07/27/2025, 08:30",Quarterfinals,Final
Red Lotus,SOUF,10,15,"07/27/2025, 08:30",Quarterfinals,Final
OAT,Zyzzyva,12,9,"07/27/2025, 08:30",Quarterfinals,Final
Blackfish,Sawtooth,15,11,"07/27/2025, 08:30",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
bracket,Fifth Place Bracket
Wavestorms,Red Lotus,0,0,"07/27/2025, 10:15",Fifth Place Semifinals,Scheduled
Zyzzyva,Sawtooth,0,0,"07/27/2025, 10:15",Fifth Place Semifinals,Scheduled
bracket,Seventh Place
bracket,Ninth Place Bracket
Kansas City Smokestack,Portland TremOR,0,0,"07/27/2025, 12:00",Nnth Place Semifinals,Scheduled
Kansas City Smokestack,Swordfish,15,7,"07/27/2025, 08:30",Ninth Place Quarterfinals,Final
Portland TremOR,Junco,15,14,"07/27/2025, 08:30",Ninth Place Quarterfinals,Final
Trident,Make it Rain,0,0,"07/27/2025, 10:15",Ninth Place Quarterfinals,Scheduled
Seven Gills,Hazard,0,0,"07/27/2025, 10:15",Ninth Place Quarterfinals,Scheduled
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
Swordfish,Junco,0,0,"07/27/2025, 12:00",Thirteenth Place Semifinals,Scheduled
bracket,Fifteenth Place
b,r,e,a,k
