2025 Great Lakes Men's Regional Championship,Club - Men ,20,9,2025
Indianapolis,IN,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Great-Lakes-Mens-Regional-Championship/schedule/Men/Club-Men/
Chicago Machine,1
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,James Highsmith,Dan Donovan,Walden Nelson
0,Wilson Matthews
01,Andrew Sjogren
02,Nathaniel Astrom
05,Johnny Bansfield
07,Jack Shanahan
09,Sofiene Bontemps
10,Victor Luo
11,Nathan Goff
12,Kyle Rutledge
13,Benjamin Preiss
14,Jake Steslicki
15,Rutledge Smith
16,Raymond Lu
17,Keegan North
18,Jeffrey Gao
19,Paul Arters
21,Eli Artemakis
23,Xavier Payne
27,Daan De Marrée
29,Timothy Schoch
35,Samuel McGuckin
55,Pawel Janas
66,Anthony Gutowsky
76,Adam Stautberg
88,Cullen Baker
91,William Wettengel
b,r,e,a,k
Colonels,8
teamInfo,,"Louisville, Kentucky",https://louisvilleultimate.org/,https://www.facebook.com/colonelsfrisbee/,https://twitter.com/colonelsfrisbee
0,Conner Blalack
01,Drew Happe
02,Doc Surrell
03,Ryan Fehrenbacher
04,Jacob Culver
05,Sophainara Long
06,Dan Cunningham
07,Nathan Sevenish
12,Gavin Joyce
14,Nicholas Betsch
15,Christopher Sowards
17,Seth Gudeman
18,Amal Patel
19,Trevor Gingrich
20,Tyler Karnes
21,Alex Zheng
22,Nickolas Hutton
23,Kendrick Yuen
28,Tanner Graham
31,Bradley Kennis
34,Luke Huffman
43,Benjamin Spergel
44,Matthew Carmichael
72,Benjamin Landry
90,Robert Davenport
93,Richard Murt
b,r,e,a,k
Black Lung,10
teamInfo,,"Lexington, Kentucky",,,https://twitter.com/blacklungulti?lang=en
01,Adam Houk
02,David Diddle
04,Isaac Madill
07,Christopher Empie
08,Nathan Meade
10,Larry Farmer Jr
12,Cole Bernstein
13,Reid Gouge
16,Jack DeLong
17,Wyatt Driskell
18,Garrett Hamilton
20,Nathan Riffell
23,Jackson Hollander
27,Daniel Swastek
36,Matthew Martin
39,Joseph Lindemuth
45,Colin Winter
47,Nicholas Riffell
53,Jacob Gowan
54,Nate Knowles
61,Chris Bauer
63,Ezekiel Miller
69,Christopher Padgett
77,Joseph Neuzel
87,Mason Montgomery
88,Sifaan Amanu
b,r,e,a,k
Shift,15
teamInfo,,"Carol Stream, Illinois",,,
0,George Dore
0,Harrison Krebs
0,Ishaan Patel
0,Davis Parks
0,James Arnold
0,Juan Amador
0,Lucas Donat
0,Nate Cinnamon
0,Owen Jewell
0,Quinn deBolt
0,Sam Kerner
0,Shivam Boghra
0,Will deBolt
0,William Nash
2,Joe Sidrys
7,Bill SooHoo
7,David Afanador
11,Jacob Ngo
19,Dylan Magahis
23,Mauricio Galeano Rios
25,Jake Swalec
35,Zach Eiden
75,Kyle Kent
79,Charles Cooper
88,Andrew Roth
98,Lucas Tarnowski
b,r,e,a,k
I-69,3
teamInfo,,"Indianapolis, Indiana",,,
69,Anthony Grigoletti
69,Ben Kempe
69,Benjamin Close
69,Christian Geary
69,Cole Hyzer
69,Connor Modglin
69,Evan Washo
69,Hank Havlin
69,Jack Kempe
69,Jake Wahl
69,Jason Kempe
69,Jesse Rumsey
69,Joel Close
69,Mace Chope
69,Matthew Weaver
69,Nathan Close
69,Nathan Bussberg
69,Noah  Wahl
69,Owen Woodward
69,Richard Ware
69,Rick Gross
69,Samuel Ingham
69,Sedrik Sweet
69,Travis Carpenter
69,Tristan  Felke
69,William Lilegdon
b,r,e,a,k
Haymaker,6
teamInfo,,"Chicago, Illinois",https://www.chicagohaymaker.com,,
0,Bradley Bolliger
0,Dean Gottlieb
0,George Gunter
0,John Marsh
0,Joseph Sifakis
0,Kyle Bayes
0,Maxwell Devine
0,Milan Rivas
0,Nathan Zock
0,Owen  Wright
0,Ray Mauntel
0,Samuel Astrom
1,Gabe Schoepke
5,Landon Evans
5,Joel Willison
7,Torsten Johnson
10,Nickolas Pappas
14,Constantine Stake
15,Evan Sebastian
22,Charles Peretti
23,Joe Cercello
32,Simon Perez
