2025 USA Ultimate Club Nationals,Club - Mixed ,23,10,2025
San Diego,CA,2025-10-23,2025-10-26
https://play.usaultimate.org/events/2025-USA-Ultimate-Club-Nationals/schedule/Mixed/Club-Mixed
Hybrid,1
teamInfo,,"Ann Arbor, Michigan",https://www.instagram.com/hybrid_ultimate,,
coaches,Michael Dagher-Margosian
0,Jesse Johnson
01,Jonathan Mast
02,Maketa Mattimore
03,Sara Nitz
04,Chase Cunningham
05,Ian McNamara
06,Robert Coffin
07,Annalise Meilink
08,Jared Schwallie
10,Brittany Wright
11,Tracey Lo
13,Dalton Smith
14,Aaron Bartlett
15,Calliope Cutchins
16,Riely Kuznicki
17,Ben Lewis
18,Laura  Gerencser
20,Madalyn Simko
21,Rachel Mast
23,Liliana Hobday
31,Charlie Vukovic
42,Nathan Champoux
50,Jeffrey Weis
55,Courtney Walbe
77,Katrina McGuire
88,Mark Whitton
b,r,e,a,k
Sprocket,9
teamInfo,,"Medford, Massachusetts",,https://www.facebook.com/sprocket.ultimate,
coaches,Tom Matthews,Kate Patterson,Jimmy Leppert,Lizzie Jones
01,Jack Kwon
02,Eli Robinson
04,Makk !
06,Zach Singer
07,Ivan Tran
08,Hazel Ostrowski
09,Sara Rudolph
10,Wilhelmina Graff
11,Ryan Flamberg
13,Phillip Joyce
14,Devin Quinn
15,Tannor Johnson
16,Camila Flowerman
17,Leo Blooston
21,Katya Piskun
24,Victor Pria
25,Gabriella  Palermo
30,Jean Huang
33,Emma Lowenstein
34,Yigit Demiralp
51,Tess Johnson
60,Caitlin Go
71,Shirlee Wohl
79,Gene Buonaccorsi
96,Alexander Donadio
99,Michael Shriver
b,r,e,a,k
Rally,8
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/DCRallyUltimate,https://twitter.com/RallyUltimate
coaches,Geoff Horsfield,David Maniloff,Layne Scherer
00,Margot Nissen
01,Theo Shapinsky
02,Katina Russell
03,Maya Kikuchi
04,Ellen Mueller
05,Ethan Ruh
07,Margaret Pendleton
08,Kristin Franke
09,Emily Kiver
10,Jenny Fey
11,Austin Bartenstein
15,Julia Harris
18,Brandon Lamberty
19,Noah Newberger
20,Daniel Gribbin
21,Keara Crook
23,Sami Smalling
24,Anthony McLean
26,Jimmy Clarke
32,Rebecca Driver
42,Ben Sadis
51,Shane Jones
55,Gabriel Webster
66,Marcus Thaw
90,Sydney Rehder
99,Alan Kolick
b,r,e,a,k
Seattle Mixtape,15
teamInfo,,"Seattle, Washington",https://shop.beultimate.com/collections/seattle-mixtape,https://www.instagram.com/seattlemixtape,https://twitter.com/SeattleMIXtape
coaches,Michael Caldwell,Qxhna Titcomb
00,Marc Anthony Munoz
01,Gabrielle Perl
03,Zhi Chen
06,Isabella Pharr
07,Rowan Lymp
08,Jean Russell
10,Ciona Antolin
11,Bert Cherry
12,Lucy Tanner
14,Mohammud Tilmo
15,Bailey Zahniser
16,Ryan Liao
17,Aimie Kawai
18,Husayn Carnegie
19,Alexa Romersa
21,Jesse Bolton
22,William Katz
23,David Shipway
24,Zeppelin Raunig
27,Dominic Cavalero
29,Michael Buyco
42,Brian (Dominic) Jacobs
45,Maryjo Mahan
58,Paige Kercher
71,Arianne Lozano
91,Griffin Lo
b,r,e,a,k
XIST,2
teamInfo,,"New York, New York",https://www.xistultimate.com/,https://www.facebook.com/xistultimate/,https://twitter.com/XIST_Ultimate
coaches,Anne Worth,Isaiah Bryant,Kevin Lai
01,Eastelle Ding
02,Jolene Zheng
03,Abagael Cheng
06,Ryan Drost
07,Luisa Maria Neves
08,Michael Drost
11,Sadie Jezierski
13,Henry Phan
14,Audrey Parrott
15,Oscar Kohut
16,Elias Levey-Swain
17,Oliver Chartock
18,Axel Agami Contreras
19,Eliot Bemis
24,Jolie Krebs
25,Ben Simmons
26,Cara Sieber
33,Emily Barrett
36,Matt Wiener
42,Daniel Thornton
66,Janine Hlavaty
74,Sam Harris
75,Marianna Malin
84,Matthias Ling
88,Nicole Hair
99,Jeff Zhao
b,r,e,a,k
Mile High Trash,13
teamInfo,,"Denver, Colorado",,,
coaches,Lukas Nesheim,Lena Goren
01,Jack Hinchsliff
02,Fern Beetle Moorcroft
03,Fiona Cashin
04,Felix Pronove
07,Janie Mockrish
08,Nicole Havel
09,Charles Cannon
11,Grace Brown
12,Bristol Lovoy
13,Courtney Ngai
14,Dexter Shafer-White
15,Zachary Nager
16,Abigail Thorpe
20,Ari Nelson
21,Will McDonald
22,Allysha Dixon
24,Riley Kirkman-Davis
28,Austin Gould
29,Haley Sanner
30,Jonathan Stirk
31,Kelsey Mueller
32,Andrew Muller
44,Joel Ives
51,Maxwell Hamilton
78,Drew Rasmussen
84,Hallie Dunham
b,r,e,a,k
Austin Disco Club,7
teamInfo,,"Austin, Texas",,,
coaches,Elizabeth Carbajal
01,Elizabeth Diamond
02,Bennett Wachob
03,Lorraine Guerin
04,Darren (Toast) McAuliffe
05,Madison Cannon
06,Eric Brodbeck
07,Reese Bowman
08,Jacob Sames
10,Karalie Morrison
12,Daniel Welkener
16,Sean Brady
19,Vanessa Bacorn
20,Susan Gilbert
22,Alexi Zalk
24,Advika Kamatar
27,Brandon Dial
28,Joel Clutton
34,Carley Garrett
35,Brooke Wooldridge
43,Joseph Wylie
52,Myles Armstrong
69,Jaime Estes
73,Clara Stewart
77,Brian Street
89,Trevor Elam
b,r,e,a,k
Tower,10
teamInfo,,"Sacramento, California",https://www.instagram.com/towerulti/?hl=en,,https://twitter.com/towerulti
coaches,Austin Lourie,Ryan Watson,Krista Takayama
01,Kyle Glanzmann
02,Morgan Strong
03,Ryan Takayama
05,Samantha Burns
09,Reilly Berberian
10,Sonny Zaccaro
12,Breana Marin
13,Brent Moore
14,Daniela Jimenez
15,Julianna Madigan
16,Kristin Weyenberg
17,Sean Treacy
19,Sophie Havranek
21,Anders Eckburg
23,Katrina Rowsey
24,Katie Angstadt-Leto
25,Adam Egemo
31,John Butler
34,Colin Smith
48,Nicholas Murphy
49,Robyn Fennig
55,Tyler Bacon
79,April Lu
93,Tom Doi
96,Katelyn Mann
b,r,e,a,k
Toro,3
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
coaches,Matthew Raskind,Michael Meilstrup
01,Jinny Riedel
02,Claire Bidigare-Curtis
04,Zac Byrnes
07,Grayson Sanner
08,Maya Powell
09,Jacob Mouw
11,Player Pierce
12,Katie Backus
14,Dayla Woller
15,Carmen Tormey
17,Tatiana Proksch
18,Jacob McGoogan
21,Julia Hoffmann
23,Caitlin Gross
24,William Coffin
28,Claire Revere
29,Elijah Long
30,Andrew McKelvey
32,Annie Bocko
34,Matthew Wilson
43,Marcus Rovner
45,Brett Matzuka
85,Owen Stout
88,Madeleine Pletzke
99,Georgia Tse
b,r,e,a,k
Slow,5
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/SlowWhite_
coaches,Sophia Herscu,Marshall Lian,Marshall Goff
03,Ben Sadok
04,Davis Whitehead
05,Jaelee Cruz
08,Peter Prial
09,Raymond Tetreault
10,Tyler Chan
11,Alex Kapiamba
12,Caitlin Fitzgerald
13,Langston Lee
14,Chloe de Campos
16,Erin Rea
17,Kat Brock
19,Olivia Hampton
21,Luca  Harwood
25,Louis Douville Beaudoin
26,Elana Schwam
27,Caroline Collis
33,Yuge Xiao
35,Piers MacNaughton
45,Sarah Jeung
57,Ellie Jose
66,Jac Carreiro
77,Anna MacNaughton
81,Ram Sundaram
89,Emma Palacio
98,Ryan Cardinal
b,r,e,a,k
Lawless,14
teamInfo,,"Phoenix, Arizona",,,https://twitter.com/ArizonaLawless
coaches,John Patinella
0,Nihaal Sidhu
01,Maggie O'Connor
03,Leah Jameson
05,Dakota Lippincott
07,Cynthia Thomas
11,Melissa Dunn
13,Ethan Li
18,Kyle Rubin
19,Madison Speagle
20,Ryan Irvin
21,Caroline OConnell
26,Lauren Pisani
27,Janet Wan
29,Marshall Crawford
30,Mason Zetsch
36,Ryan Lacy
37,Benjamin Levinsky
42,Kez Gesell
44,Olivia Chambliss
50,Samuel Besse
51,Kay Powell
52,Holt Newton
57,Brittany  Stettmeier
66,Oliver Artus
67,Taylor Gilman
80,Travis Dunn
b,r,e,a,k
Space Force,12
teamInfo,,"Huntsville, Alabama",http://linktr.ee/spaceforceulti,,
coaches,Chris Brackbill,Andy Sieja,Mac McClellan
00,Jonathan Sillivant
01,Mia Griner
03,Sara Mog
05,William Bianca
06,Natalie Wilson
07,Sean Connole
08,Tom Radcliffe
10,Matthew Radcliffe
11,Jeremiah Branson
14,Lindsi Allman
15,Sylvia Brown
19,Victoria Radcliffe
20,Brian Bekken
22,Savannah Sillivant
23,Daniel Bekken
24,Emily  Branson
32,Lauren Wesley
34,Karl Ekwurtzel
35,Sydney Loughran
38,Jack Galle
45,Anna Lee
55,Elijah Jaime
69,Michael Mobley
70,Nick Loughran
91,Evelyn Williams
b,r,e,a,k
shame.,4
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/shame.ultimate/,https://twitter.com/ultimate_shame
coaches,Marvin Vuong
00,Conor Tabor
04,Sarah Itoh
05,Danielle Love
06,Simon Montague
07,Robin Fassett-Carman
08,Shayna Brock
11,Matthew Russell
12,Ellie Hasenohr
13,Elizabeth Murphy
14,Jade McLaughlin
15,Spencer Tibbs
19,O'Linda (Blaise) Sevier
21,Joseph Anderson
22,Thomas Brewster
24,Megan Jameson
27,Chris Gauen
29,Casey Wu
33,Alexandra Daniels
39,Sandy Brown
44,Edwin Finley
48,Aubree Dietrich
52,Nicholas Snuszka
88,Kasey Anderson
97,Sarah Pesch
99,Rory Veldman
b,r,e,a,k
Drag'n Thrust,6
