Vacationland 2017,Club - Women ,22,7,2017
Vice
b,r,e,a,k
HOPE
b,r,e,a,k
Rip Tide
b,r,e,a,k
Jinx
b,r,e,a,k
Vice,HOPE,13,1,"07/22/2017, 09:00"
Rip Tide,Jinx,5,9,"07/22/2017, 09:00"
Vice,Jinx,8,9,"07/22/2017, 11:00"
Rip Tide,HOPE,15,12,"07/22/2017, 11:00"
Vice,Rip Tide,13,4,"07/22/2017, 13:00"
HOPE,Jinx,1,15,"07/22/2017, 13:00"
Jinx,Vice,7,15,"07/23/2017, 15:00"
