South New England Sectionals,college-womens,17,4,2004
Providence,RI,2004-04-17,2004-04-17
https://scorereport.net/2004/college-womens/event544
Brown
b,r,e,a,k
Brown-B
b,r,e,a,k
Yale
b,r,e,a,k
Wesleyan
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Brown,Brown-B,15,0,"04/17/2004, 00:00",Bracket,final
Brown,Yale,15,5,"04/17/2004, 00:00",Bracket,final
Yale,Wesleyan,15,10,"04/17/2004, 00:00",Bracket,final
bracket,Bracket
Yale,Wesleyan,15,2,"04/17/2004, 00:00",Bracket,final
Wesleyan,Brown-B,15,2,"04/17/2004, 00:00",Bracket,final
b,r,e,a,k
