Gulf Coast Mixed Sectionals,mixed club,20,9,2008
Memphis,TN,2008-09-20,2008-09-20
https://scorereport.net/2008/mixed/event5147
"Home Wreckers, Inc."
b,r,e,a,k
Category 5 Ultimate
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
"Home Wreckers, Inc.",Category 5 Ultimate,15,17,"09/20/2008, 10:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
