East Plains / Michigan Mixed Sectionals,mixed club,27,9,2008
Versailles,OH,2008-09-27,2008-09-27
https://scorereport.net/2008/mixed/event5138
Hybrid
b,r,e,a,k
Cruella de Ville
b,r,e,a,k
Steamboat
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Hybrid,Cruella de Ville,15,6,"09/27/2008, 11:00",Pool A,final
Steamboat,Cruella de Ville,15,0,"09/27/2008, 13:15",Pool A,final
Hybrid,Steamboat,10,15,"09/27/2008, 15:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
