2018 Wisconsin HS Girls State Championships,High School - Girls ,26,5,2018
Edgewood High School
 ,Peyton Jacoby
0,Sophia Montgomery
0,Alice Parizo
0,Annabel Stattelman-Scanlan
0,Ariel Haber-Fawcett
0,Barbara Hanna
0,Clare Quinn
0,Eva Paddock
0,Faye Darga
0,Izzy Quattrucci
0,Jade Fitzgerald
0,Maggie Sanders
0,Olivia Siebert
22,Anna Hildebrand
44,Daeja Ridley
b,r,e,a,k
James Madison Memorial High School
0,Andrea Fruit
0,Anjali Mathur
0,Anna Hubbard
0,Cadence  Schaal 
0,Carina  Koch
0,Carynne Sullivan
0,Elise Chester
0,Gabriela Stark-Torrentera 
0,J Higgins
0,Julia Mann
0,Kelly Wu
0,Leah Metzger
0,Lydia Oakleaf
0,Madelyn (Maddy) Peppard
0,Nicole Feiner
0,Nina Vaccaro
0,Sally Herman
0,Sarah Dolezal
0,Stephanie Kishter
b,r,e,a,k
Oregon High School
0,Abby Rau
0,Abigail Fischer
0,Adeline O'Brien
0,Anna Donovan
0,Bekken Pearson
0,Jazmin Schwarzkopf
0,Jensen Rindy
0,Kailey  O'Brien
0,Madi  Bing
0,Maia Beirne
0,Micayla Wallace
0,Phoebe Jeske
0,Samantha Jackson
0,Sarah Boerigter
b,r,e,a,k
Middleton High School
0,Abby Mangas
0,Alexis Stahnke 
0,Amanda Roesch
0,Bria Peterson
0,Brianna Keller
0,Claire Buenfil
0,danielle klais
0,Emily Boyd
0,Erica Collin
0,Grace  Chen
0,Haley Bills
0,Jena Peterson
0,Kaden Mettel
0,Karolina Staflova
0,Kirstin Yu
0,Kristina Shi
0,Maureen Sheehan
0,Melia Zeaman
0,Nikki Yu
0,Olivia Shoemaker
0,Paige Olson
0,Rachael Lee
0,Ruth McLeod
0,Zoe Tillett
0,Zoe Rozema
0,Zoe Barmore
b,r,e,a,k
Madison West High School
0,Abigail Peterson
0,Ani Fafinski
0,Anna Arpaci-Dusseau
0,Anna Lane
0,Annie Pan
0,Aviva Kinsey
0,Camila Darvin 
0,Catherine Thompson
0,Ella Brown
0,Else Radeloff
0,Finwe Wiedenhoeft
0,Grace Goldenberg
0,Grace Augspurger
0,Hannah Granetzke
0,Harleen  Tewatia
0,Julia Vander Ark
0,Kamden Stark
0,Kathryn  Christianson
0,Lauren Thompson
0,Lewa Diarra
0,Lily Sandholm
0,Mia Wieben
0,molly dorr
0,Nicole Sponseller
0,Nika Kwon
0,Sophie Shaw
0,Tenley Abbott
b,r,e,a,k
Verona Area High School
0,Abby Burie
0,Greta Schmidt
0,Hannah Birschbach
0,Janette Sanchez-Medina
0,Kiana Leeder
0,Maddie Rubrich
0,Madison Princl
0,Olivia Sprunger
0,Qiuwen Quan
0,Rianna Kuenzi
0,Sasha Horan
b,r,e,a,k
Stoughton High School
0,Aidan Hampton
0,Anna Callahan
0,Chloe Silbaugh
0,Erin McCune
0,Gina Owen
0,Grace Milton
0,Greta Nashold
0,Hannah Wirag
0,Jianna Krueger
0,Karmen Smyth
0,Kayla Rippe
0,Lucia Nortwen
0,Madi Bonebright
0,Mara Hann
0,Marianna Malin
0,Natalie Gruben
0,Tessa Berry
b,r,e,a,k
Edgewood High School,James Madison Memorial High School,6,5,"05/26/2018, 09:00"
Oregon High School,Middleton High School,6,9,"05/26/2018, 09:00"
Madison West High School,Verona Area High School,11,1,"05/26/2018, 09:00"
Stoughton High School,Middleton High School,11,0,"05/26/2018, 10:30"
Madison West High School,James Madison Memorial High School,8,3,"05/26/2018, 10:30"
Oregon High School,Verona Area High School,10,0,"05/26/2018, 10:30"
Stoughton High School,Madison West High School,9,6,"05/26/2018, 12:00"
Edgewood High School,Verona Area High School,10,4,"05/26/2018, 12:00"
Oregon High School,James Madison Memorial High School,10,3,"05/26/2018, 12:00"
Stoughton High School,Edgewood High School,11,0,"05/26/2018, 13:30"
Middleton High School,James Madison Memorial High School,11,2,"05/26/2018, 13:30"
Madison West High School,Oregon High School,9,4,"05/26/2018, 15:00"
Middleton High School,Edgewood High School,10,3,"05/26/2018, 15:00"
Stoughton High School,Verona Area High School,11,0,"05/26/2018, 15:00"
James Madison Memorial High School,Verona Area High School,9,4,"05/27/2018, 09:00"
Madison West High School,Edgewood High School,11,6,"05/27/2018, 10:30"
Middleton High School,Verona Area High School,11,0,"05/27/2018, 10:30"
Stoughton High School,Oregon High School,11,3,"05/27/2018, 10:30"
Stoughton High School,James Madison Memorial High School,11,1,"05/27/2018, 12:00"
Madison West High School,Middleton High School,11,5,"05/27/2018, 12:00"
Oregon High School,Edgewood High School,10,5,"05/27/2018, 12:00"
