SAMSGUT,open club,1,9,2007
Chattanooga,TN,2007-09-01,2007-09-02
https://scorereport.net/2007/open/event4062
El Diablo
b,r,e,a,k
red bank
b,r,e,a,k
GreenMan
b,r,e,a,k
NUDE
b,r,e,a,k
gigantor
b,r,e,a,k
sailors
b,r,e,a,k
Ball and Chain
b,r,e,a,k
Rope
b,r,e,a,k
brutal grassburn
b,r,e,a,k
Jackhammer
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
GreenMan,NUDE,1,0,"09/01/2007, 00:00",Bracket,final
sailors,Ball and Chain,1,0,"09/01/2007, 00:00",Bracket,final
gigantor,Jackhammer,1,0,"09/01/2007, 00:00",Bracket,final
El Diablo,red bank,13,1,"09/02/2007, 00:00",Bracket,final
El Diablo,GreenMan,13,5,"09/02/2007, 00:00",Bracket,final
El Diablo,gigantor,15,10,"09/02/2007, 00:00",Bracket,final
Rope,sailors,13,12,"09/02/2007, 00:00",Bracket,final
Rope,brutal grassburn,1,0,"09/02/2007, 00:00",Bracket,final
gigantor,Rope,13,9,"09/02/2007, 00:00",Bracket,final
b,r,e,a,k
