Desert Open Sectionals,open club,15,9,2007
Tempe,AZ,2007-09-15,2007-09-15
https://scorereport.net/2007/open/event3872
Sprawl
b,r,e,a,k
Sunburn
b,r,e,a,k
Ironwood
b,r,e,a,k
El Ponderoso
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Sprawl,Sunburn,16,13,"09/15/2007, 15:45",Pool A,final
Ironwood,El Ponderoso,17,4,"09/15/2007, 15:45",Pool A,final
Sprawl,El Ponderoso,17,6,"09/15/2007, 17:45",Pool A,final
Ironwood,Sunburn,16,14,"09/15/2007, 17:45",Pool A,final
Sprawl,Ironwood,11,17,"09/15/2007, 19:45",Pool A,final
Sunburn,El Ponderoso,1,0,"09/15/2007, 19:45",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
