2011 USA Ultimate Florida Club Women's Sectionals,womens club,17,9,2011
Bradenton,FL,2011-09-17,2011-09-17
https://scorereport.net/2011/womens/event9956
Sol
b,r,e,a,k
FUIFF
b,r,e,a,k
FUEL
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Sol,FUIFF,12,6,"09/17/2011, 00:00",Pool A,final
FUEL,FUIFF,7,10,"09/17/2011, 00:00",Pool A,final
Sol,FUEL,15,4,"09/17/2011, 00:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
