SCINNY 2011,womens club,25,6,2011
Lebanon,OH,2011-06-25,2011-06-26
https://scorereport.net/2011/womens/event8742
Cold Sweat
b,r,e,a,k
Belle
b,r,e,a,k
Notorious CLE
b,r,e,a,k
Cincy
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Cold Sweat,Belle,11,3,"06/25/2011, 09:00",Pool A,final
Notorious CLE,Cincy,W,L,"06/25/2011, 09:00",Pool A,final
Cold Sweat,Cincy,,,"06/25/2011, 10:45",Pool A,scheduled
Notorious CLE,Belle,11,4,"06/25/2011, 10:45",Pool A,final
Cold Sweat,Notorious CLE,L,W,"06/25/2011, 12:30",Pool A,final
Belle,Cincy,11,4,"06/25/2011, 12:30",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship
bracket,3rd Place
b,r,e,a,k
