2011 USA Ultimate East Coast Club Women's Sectionals,womens club,17,9,2011
Chattanooga,TN,2011-09-17,2011-09-17
https://scorereport.net/2011/womens/event9833
Emory Luna
b,r,e,a,k
Georgia Tech
b,r,e,a,k
Nashville 2.0
b,r,e,a,k
Ozone
b,r,e,a,k
DeSoto
b,r,e,a,k
Top Shelf
b,r,e,a,k
Alloy
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Emory Luna,Georgia Tech,8,10,"09/17/2011, 09:00",Pool A,final
Nashville 2.0,Georgia Tech,15,2,"09/17/2011, 10:45",Pool A,final
Emory Luna,Nashville 2.0,5,15,"09/17/2011, 12:30",Pool A,final
pool,Pool B
Ozone,DeSoto,15,2,"09/17/2011, 09:00",Pool B,final
Top Shelf,Alloy,15,5,"09/17/2011, 09:00",Pool B,final
Ozone,Alloy,13,1,"09/17/2011, 10:45",Pool B,final
Top Shelf,DeSoto,10,8,"09/17/2011, 10:45",Pool B,final
Ozone,Top Shelf,15,4,"09/17/2011, 12:30",Pool B,final
DeSoto,Alloy,15,5,"09/17/2011, 12:30",Pool B,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
