2011 USA Ultimate North Carolina Club Women's Sectionals,womens club,11,9,2011
Durham,NC,2011-09-11,2011-09-11
https://scorereport.net/2011/womens/event9713
Phoenix
b,r,e,a,k
Bangarang
b,r,e,a,k
Sweet T
b,r,e,a,k
Ember
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Phoenix,Bangarang,15,6,"09/11/2011, 09:00",Championship Bracket,final
Sweet T,Ember,15,3,"09/11/2011, 09:00",Championship Bracket,final
Phoenix,Sweet T,15,11,"09/11/2011, 11:15",Championship Bracket,final
bracket,2nd Place Bracket
Ember,Bangarang,15,8,"09/11/2011, 11:15",2nd Place Bracket,final
Sweet T,Ember,15,6,"09/11/2011, 13:30",2nd Place Bracket,final
b,r,e,a,k
