2011 USA Ultimate Nor Cal Club Women's Sectionals,womens club,18,9,2011
Pleasanton,CA,2011-09-18,2011-09-18
https://scorereport.net/2011/womens/event9880
Fury
b,r,e,a,k
Slackjaw
b,r,e,a,k
Zeitgeist
b,r,e,a,k
Nineties Kids
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Fury,Slackjaw,15,3,"09/18/2011, 09:00",Pool A,final
Zeitgeist,Nineties Kids,15,3,"09/18/2011, 09:00",Pool A,final
Fury,Nineties Kids,15,0,"09/18/2011, 10:30",Pool A,final
Zeitgeist,Slackjaw,15,3,"09/18/2011, 10:30",Pool A,final
Fury,Zeitgeist,15,5,"09/18/2011, 12:00",Pool A,final
Slackjaw,Nineties Kids,15,4,"09/18/2011, 12:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
