2013 USA Ultimate Metro New York Open Sectionals,open club,14,9,2013
Middletown,NY,2013-09-14,2013-09-15
https://scorereport.net/2013/open/event13190
Middletown Flatball
b,r,e,a,k
Misfits
b,r,e,a,k
The Nights Watch
b,r,e,a,k
Nuclear Powered Yacht Club
b,r,e,a,k
West Point
b,r,e,a,k
Youngbloods
b,r,e,a,k
Watchmen
b,r,e,a,k
Man Man
b,r,e,a,k
LID
b,r,e,a,k
Scam Open Club
b,r,e,a,k
Pride Rock
b,r,e,a,k
Hospital Pass
b,r,e,a,k
Stonefish
b,r,e,a,k
Camp Harmony Ultimate Friendship
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Middletown Flatball,Misfits,10,17,"09/14/2013, 08:30",Pool A,final
The Nights Watch,Misfits,17,3,"09/14/2013, 10:45",Pool A,final
The Nights Watch,Middletown Flatball,17,3,"09/14/2013, 13:00",Pool A,final
pool,Pool B
Nuclear Powered Yacht Club,West Point,13,16,"09/14/2013, 08:30",Pool B,final
Youngbloods,West Point,17,5,"09/14/2013, 10:45",Pool B,final
Youngbloods,Nuclear Powered Yacht Club,17,7,"09/14/2013, 13:00",Pool B,final
pool,Pool C
Watchmen,Man Man,11,15,"09/14/2013, 09:00",Pool C,final
LID,Scam Open Club,15,2,"09/14/2013, 09:00",Pool C,final
Watchmen,Scam Open Club,15,10,"09/14/2013, 11:00",Pool C,final
LID,Man Man,11,14,"09/14/2013, 11:00",Pool C,final
Watchmen,LID,14,12,"09/14/2013, 13:00",Pool C,final
Man Man,Scam Open Club,15,5,"09/14/2013, 13:00",Pool C,final
pool,Pool D
Pride Rock,Hospital Pass,15,11,"09/14/2013, 09:00",Pool D,final
Stonefish,Camp Harmony Ultimate Friendship,14,11,"09/14/2013, 09:00",Pool D,final
Pride Rock,Camp Harmony Ultimate Friendship,12,5,"09/14/2013, 11:00",Pool D,final
Stonefish,Hospital Pass,15,3,"09/14/2013, 11:00",Pool D,final
Pride Rock,Stonefish,8,14,"09/14/2013, 13:00",Pool D,final
Hospital Pass,Camp Harmony Ultimate Friendship,13,12,"09/14/2013, 13:00",Pool D,final
b,r,e,a,k
brackets,Bracket
bracket,1st Place Bracket
The Nights Watch,Stonefish,15,6,"09/14/2013, 15:15",1st Place Bracket,final
Youngbloods,Man Man,15,13,"09/14/2013, 15:15",1st Place Bracket,final
The Nights Watch,Youngbloods,15,13,"09/15/2013, 12:30",1st Place Bracket,final
bracket,2nd/3rd Place Bracket
West Point,Watchmen,14,11,"09/14/2013, 15:15",2nd/3rd Place Bracket,final
Misfits,Pride Rock,11,9,"09/14/2013, 15:15",2nd/3rd Place Bracket,final
Stonefish,West Point,15,15,"09/15/2013, 08:30",2nd/3rd Place Bracket,final
Stonefish,Man Man,15,10,"09/15/2013, 08:30",2nd/3rd Place Bracket,final
Man Man,Misfits,15,4,"09/15/2013, 08:30",2nd/3rd Place Bracket,final
Youngbloods,Stonefish,15,13,"09/15/2013, 14:30",2nd/3rd Place Bracket,final
bracket,6th Place Bracket
West Point,Misfits,W,F,"09/15/2013, 12:30",6th Place Bracket,final
bracket,8th Place Bracket
Hospital Pass,Scam Open Club,15,3,"09/15/2013, 08:30",8th Place Bracket,final
LID,Hospital Pass,15,F,"09/15/2013, 10:30",8th Place Bracket,final
Middletown Flatball,Nuclear Powered Yacht Club,W,F,"09/15/2013, 10:30",8th Place Bracket,final
Middletown Flatball,Misfits,W,F,"09/15/2013, 14:30",8th Place Bracket,final
Middletown Flatball,LID,W,F,"09/15/2013, 14:30",8th Place Bracket,final
bracket,13th Place Bracket
Scam Open Club,Camp Harmony Ultimate Friendship,W,F,"09/15/2013, 10:30",13th Place Bracket,final
b,r,e,a,k
