Dog Stuff Invitational,open club,25,8,2013
Austin,Texas,2013-08-25,2013-08-25
https://scorereport.net/2013/open/event13580
Grass Knuckles
b,r,e,a,k
Riverside 1
b,r,e,a,k
Space City Eclipse
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Grass Knuckles,Riverside 1,11,1,"08/25/2013, 09:00",Pool A,final
Space City Eclipse,Riverside 1,8,11,"08/25/2013, 10:30",Pool A,final
Space City Eclipse,Grass Knuckles,6,11,"08/25/2013, 12:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,The Search for Dog Island
Grass Knuckles,Riverside 1,11,6,"08/25/2013, 13:30",The Search for Dog Island,final
Grass Knuckles,Space City Eclipse,11,5,"08/25/2013, 15:00",The Search for Dog Island,final
b,r,e,a,k
