2013 USA Ultimate Ozark Open Sectionals,open club,7,9,2013
North Little Rock,AR,2013-09-07,2013-09-07
https://scorereport.net/2013/open/event13195
Howlers
b,r,e,a,k
Hendrix
b,r,e,a,k
Rawhide
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool B
Howlers,Hendrix,15,3,"09/07/2013, 10:00",Pool B,final
Rawhide,Hendrix,15,2,"09/07/2013, 12:00",Pool B,final
Howlers,Rawhide,13,15,"09/07/2013, 14:00",Pool B,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
