Tip of the Burg,open club,3,8,2013
Brownsburg,IN,2013-08-03,2013-08-03
https://scorereport.net/2013/open/event13305
2013000@
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
2013000@,2013000@,,,"08/03/2013, 09:00",Pool A,scheduled
2013000@,2013000@,,,"08/03/2013, 10:20",Pool A,scheduled
2013000@,2013000@,,,"08/03/2013, 11:40",Pool A,scheduled
pool,Pool B
2013000@,2013000@,,,"08/03/2013, 09:00",Pool B,scheduled
2013000@,2013000@,,,"08/03/2013, 10:20",Pool B,scheduled
2013000@,2013000@,,,"08/03/2013, 11:40",Pool B,scheduled
b,r,e,a,k
brackets,Bracket
bracket,Cross Over
bracket,Cross Over
bracket,Cross Over
b,r,e,a,k
