Gulf Coast Mixed Sectionals,mixed club,17,9,2005
Memphis,TN,2005-09-17,2005-09-17
https://scorereport.net/2005/mixed/event1926
Holes & Poles
b,r,e,a,k
Memphis
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Holes & Poles,Memphis,15,2,"09/17/2005, 09:00",Pool A,final
pool,Pool B
Holes & Poles,Memphis,15,2,"09/17/2005, 09:00",Pool B,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
