2010 USA Ultimate Metro New York Club Women's Sectionals,womens club,25,9,2010
Bridgeport,CT,2010-09-25,2010-09-26
https://scorereport.net/2010/womens/event7466
Connecticut College
b,r,e,a,k
Stuyvesant HS
b,r,e,a,k
MissCONNduct
b,r,e,a,k
Women's Team Frisbee (WTF!!??!?!
b,r,e,a,k
Bent
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Connecticut College,Stuyvesant HS,9,8,"09/25/2010, 12:00",Pool A,final
MissCONNduct,Women's Team Frisbee (WTF!!??!?!,13,0,"09/25/2010, 12:00",Pool A,final
Bent,Women's Team Frisbee (WTF!!??!?!,13,1,"09/25/2010, 13:30",Pool A,final
MissCONNduct,Connecticut College,13,0,"09/25/2010, 13:30",Pool A,final
Bent,Stuyvesant HS,13,0,"09/25/2010, 15:00",Pool A,final
Women's Team Frisbee (WTF!!??!?!,Connecticut College,13,3,"09/25/2010, 15:00",Pool A,final
Bent,Connecticut College,13,0,"09/25/2010, 16:30",Pool A,final
MissCONNduct,Stuyvesant HS,13,0,"09/25/2010, 16:30",Pool A,final
Bent,MissCONNduct,13,2,"09/26/2010, 09:00",Pool A,final
Women's Team Frisbee (WTF!!??!?!,Stuyvesant HS,13,5,"09/26/2010, 09:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship
MissCONNduct,Women's Team Frisbee (WTF!!??!?!,15,1,"09/26/2010, 11:00",Championship,final
Bent,MissCONNduct,15,5,"09/26/2010, 13:00",Championship,final
bracket,3rd Place
Connecticut College,Stuyvesant HS,11,5,"09/26/2010, 11:00",3rd Place,final
Women's Team Frisbee (WTF!!??!?!,Connecticut College,15,3,"09/26/2010, 13:00",3rd Place,final
b,r,e,a,k
