2010 USA Ultimate Northwest Plains Club Women's Sectionals,womens club,25,9,2010
Maple Plain,MN,2010-09-25,2010-09-26
https://scorereport.net/2010/womens/event7460
Pop
b,r,e,a,k
Surly Women
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Pop,Surly Women,15,1,"09/25/2010, 11:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
