2010 USA Ultimate North Carolina Club Women's Sectionals,womens club,11,9,2010
Raleigh,NC,2010-09-11,2010-09-11
https://scorereport.net/2010/womens/event7464
Phoenix
b,r,e,a,k
Bangarang
b,r,e,a,k
Sweet T
b,r,e,a,k
Ember
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship
Phoenix,Bangarang,15,2,"09/11/2010, 09:00",Championship,final
Sweet T,Ember,15,7,"09/11/2010, 09:00",Championship,final
Phoenix,Sweet T,14,8,"09/11/2010, 11:15",Championship,final
bracket,2nd PLACE
Ember,Bangarang,14,13,"09/11/2010, 11:15",2nd PLACE,final
Sweet T,Ember,15,5,"09/11/2010, 13:30",2nd PLACE,final
b,r,e,a,k
