2010 USA Ultimate Wash/BC Club Women's Sectionals,womens club,18,9,2010
Burlington,WA,2010-09-18,2010-09-18
https://scorereport.net/2010/womens/event7471
Ellipsis
b,r,e,a,k
Thunderbirds
b,r,e,a,k
Traffic
b,r,e,a,k
Underground
b,r,e,a,k
Riot
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Ellipsis,Thunderbirds,1,13,"09/18/2010, 09:00",Pool A,final
Traffic,Underground,13,10,"09/18/2010, 09:00",Pool A,final
Riot,Underground,13,5,"09/18/2010, 10:45",Pool A,final
Traffic,Ellipsis,13,1,"09/18/2010, 10:45",Pool A,final
Riot,Thunderbirds,13,4,"09/18/2010, 12:30",Pool A,final
Underground,Ellipsis,13,3,"09/18/2010, 12:30",Pool A,final
Riot,Ellipsis,13,2,"09/18/2010, 14:15",Pool A,final
Traffic,Thunderbirds,13,2,"09/18/2010, 14:15",Pool A,final
Riot,Traffic,13,7,"09/18/2010, 16:00",Pool A,final
Underground,Thunderbirds,13,6,"09/18/2010, 16:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
bracket,3rd Place Bracket
b,r,e,a,k
