2010 USA Ultimate Southern California Club Women's Sectionals,womens club,19,9,2010
San Diego,CA,2010-09-19,2010-09-20
https://scorereport.net/2010/womens/event7478
Safari
b,r,e,a,k
The LAW
b,r,e,a,k
Knock Out
b,r,e,a,k
Revolution
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Safari,The LAW,15,0,"09/19/2010, 10:00",Pool A,final
Knock Out,Revolution,15,4,"09/19/2010, 10:00",Pool A,final
Safari,Revolution,15,0,"09/19/2010, 12:00",Pool A,final
Knock Out,The LAW,15,2,"09/19/2010, 12:00",Pool A,final
Safari,Knock Out,15,3,"09/19/2010, 14:00",Pool A,final
The LAW,Revolution,4,8,"09/19/2010, 14:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
