2010 USA Ultimate West Plains Club Women's Sectionals,womens club,25,9,2010
St. Louis,MO,2010-09-25,2010-09-25
https://scorereport.net/2010/womens/event7461
Revoloution
b,r,e,a,k
Filthy Gorgeous
b,r,e,a,k
Nebraska
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Round 1
Revoloution,Filthy Gorgeous,15,7,"09/25/2010, 09:00",Round 1,final
bracket,Round 2
Revoloution,Nebraska,15,2,"09/25/2010, 11:00",Round 2,final
bracket,Round 3
Filthy Gorgeous,Nebraska,15,4,"09/25/2010, 13:00",Round 3,final
b,r,e,a,k
