2010 USA Ultimate Desert Club Women's Sectionals,womens club,19,9,2010
Scottsdale,AZ,2010-09-19,2010-09-19
https://scorereport.net/2010/womens/event7476
Mucho Gusto
b,r,e,a,k
Caliente
b,r,e,a,k
Spitfire
b,r,e,a,k
SCORCH
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Mucho Gusto,Caliente,15,1,"09/19/2010, 09:00",Pool A,final
Spitfire,SCORCH,14,6,"09/19/2010, 09:00",Pool A,final
Mucho Gusto,SCORCH,11,2,"09/19/2010, 11:00",Pool A,final
Spitfire,Caliente,15,1,"09/19/2010, 11:00",Pool A,final
Mucho Gusto,Spitfire,11,8,"09/19/2010, 13:00",Pool A,final
Caliente,SCORCH,4,13,"09/19/2010, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
