2011 USA Ultimate Desert Club Mixed Sectionals,mixed club,25,9,2011
Albuquerque,NM,2011-09-25,2011-09-25
https://scorereport.net/2011/mixed/event9535
Red or Green
b,r,e,a,k
The other abq team
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,1st Place
Red or Green,The other abq team,15,5,"09/25/2011, 10:00",1st Place,final
b,r,e,a,k
