2011 USA Ultimate Gulf Coast Club Mixed Sectionals,mixed club,17,9,2011
Tupelo,MS,2011-09-17,2011-09-18
https://scorereport.net/2011/mixed/event9807
FerAL
b,r,e,a,k
hendrix
b,r,e,a,k
Party Posse
b,r,e,a,k
CAT 5
b,r,e,a,k
Tune Squad
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
FerAL,hendrix,12,11,"09/17/2011, 09:00",Pool A,final
Party Posse,CAT 5,13,8,"09/17/2011, 09:00",Pool A,final
Tune Squad,CAT 5,13,6,"09/17/2011, 10:45",Pool A,final
Party Posse,FerAL,13,2,"09/17/2011, 10:45",Pool A,final
Tune Squad,hendrix,13,2,"09/17/2011, 12:30",Pool A,final
CAT 5,FerAL,13,5,"09/17/2011, 12:30",Pool A,final
Tune Squad,FerAL,13,0,"09/17/2011, 14:15",Pool A,final
Party Posse,hendrix,13,3,"09/17/2011, 14:15",Pool A,final
Tune Squad,Party Posse,13,6,"09/17/2011, 16:00",Pool A,final
CAT 5,hendrix,13,2,"09/17/2011, 16:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
CAT 5,Party Posse,11,10,"09/18/2011, 09:00",Championship Bracket,final
Tune Squad,CAT 5,13,2,"09/18/2011, 10:45",Championship Bracket,final
bracket,3rd Place Bracket
hendrix,FerAL,13,9,"09/18/2011, 09:00",3rd Place Bracket,final
Party Posse,hendrix,13,4,"09/18/2011, 10:45",3rd Place Bracket,final
b,r,e,a,k
