 2011 USA Ultimate West Plains Club Mixed Sectionals,mixed club,11,9,2011
Ames,IA,2011-09-11,2011-09-11
https://scorereport.net/2011/mixed/event9765
Chad Larson Experience
b,r,e,a,k
Fatal Attraction
b,r,e,a,k
Forbiddin' Love
b,r,e,a,k
Free Ride
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Chad Larson Experience,Fatal Attraction,15,4,"09/11/2011, 09:00",Championship Bracket,final
Forbiddin' Love,Free Ride,15,9,"09/11/2011, 09:00",Championship Bracket,final
Chad Larson Experience,Forbiddin' Love,15,8,"09/11/2011, 11:00",Championship Bracket,final
bracket,2nd Place 
Forbiddin' Love,Free Ride,15,11,"09/11/2011, 01:00",2nd Place ,final
b,r,e,a,k
