2011 USA Ultimate East Plains/Michigan Club Mixed Sectionals,mixed club,10,9,2011
Versailles ,Ohio,2011-09-10,2011-09-10
https://scorereport.net/2011/mixed/event9795
Overhaul
b,r,e,a,k
Cake In My Mouth
b,r,e,a,k
Steamboat
b,r,e,a,k
A2 Sidecar!
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Overhaul,Cake In My Mouth,15,2,"09/10/2011, 09:00",Championship Bracket,final
Steamboat,A2 Sidecar!,15,7,"09/10/2011, 09:00",Championship Bracket,final
Steamboat,Overhaul,14,12,"09/10/2011, 11:00",Championship Bracket,final
bracket,Bracket
A2 Sidecar!,Cake In My Mouth,15,9,"09/10/2011, 11:00",Bracket,final
Overhaul,A2 Sidecar!,15,11,"09/10/2011, 13:00",Bracket,final
b,r,e,a,k
