2011 USA Ultimate Hawaii Mixed Sectionals,mixed club,18,9,2011
Honolulu,Hawaii,2011-09-18,2011-09-18
https://scorereport.net/2011/mixed/event9883
Sweet Ride
b,r,e,a,k
HUCC
b,r,e,a,k
F.A.N.G.
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Sweet Ride,HUCC,14,12,"09/18/2011, 09:00",Pool A,final
F.A.N.G.,HUCC,14,5,"09/18/2011, 10:45",Pool A,final
Sweet Ride,F.A.N.G.,13,14,"09/18/2011, 12:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
