TCT Pro-Elite Challenge (Colorado Cup) 2019,Club - Men ,13,7,2019
Aurora,CO,2019-07-13,2019-07-14
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2019/schedule/Men/Club-Men/
PoNY,1
16,Keaton Bowers
17,Joe Wheelock
18,Josh Manning
19,Thomas Schreiber
20,JT Stancil
21,Christian Simpson
22,Ryan Tuschhoff
24,Danny Kurz
27,Kyle Thompson
28,Wint Doering
34,Colin Beauregard
35,Ryan Irvin
51,Ethan Sabado
67,Spencer Patterson
b,r,e,a,k
Truck Stop,4
01,Max Cassell
04,Delrico Johnson
05,David Cranston
08,Jeremy Hess
10,Tyler Monroe
14,Lloyd Blake
15,Nathan Castine
17,Eric Miner
21,Matthew Rowan McDonnell
24,Jacques Nissen
29,Christian Johnson
30,David Bloodgood
33,Jacob Radack
33,Ryan Swift
36,Nick Spiva
43,Nathan Prior
45,Jeff Wodatch
51,Kevin Versteeg
52,Gus Norrbom
63,David Shields
88,Duncan Fitzgerald
90,Markham Shofner
91,Troy Holland
b,r,e,a,k
Rhino Slam!,9
0,Holden Carroll
0,Patrick Murphy
4,Jason Simms
5,Daniel Young
11,Kyle Hancock
12,Jonathan Lee
17,Raphael Hayes
20,James Shaw
23,Kuochuan Ponzio
24,Nicholas Jackson
26,Austin Kelly
27,Trevor Smith
29,David Sealand
30,Sam Franer
33,Sam Gordon-Koven
40,Vinh Bui
41,Daniel Lee
44,Owen Murphy
50,Patrick  Beckett 
69,Duncan McNally
b,r,e,a,k
Doublewide,5
01,Jason Holleran
04,Jay Froude
05,Jake Reinhardt
06,Michael Matthis
08,Robert Coffin
09,Carson Wilder
10,Griffin Miller
10,Kaplan Maurer
11,Robert Lewis
12,Andrew Walch
13,Dalton Smith
17,Chris Larberg
19,Mason Wuensch
21,Vinay Valsaraj
22,Connor Olson
23,Gabriel Hernandez
27,Kyle Henke
28,Elliott Moore
31,Kai Marshall
34,Henry Furuta
50,Matthew Armour
72,Hunter Taylor
99,Joshua Zdrodowski
b,r,e,a,k
Inception,16
0,Seth Faris
01,Andrew Muller
04,Felix Pronove
06,Tyler Cable
07,Joseph Oaks
08,Matt Bristol
09,Sam Goldstein
12,Matt West
15,Marc Kaylor
19,Steven Pearlman
21,Lucas Beal
22,Thomas Brewster
23,Vincent Ciaramitaro
26,Daniel Brunker
27,Michael Perry
30,Jonathan Stirk
33,Samuel Hotaling
39,Jack Ziemer
41,Jason Otsuki
42,Sarang Mittal
65,Joel Ives
88,Wil St. Charles
99,Stephen Krajeski
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
PoNY,SoCal Condors,13,11,"07/13/2019, 10:00",Pool A,Final
Johnny Bravo,Patrol,13,9,"07/13/2019, 10:00",Pool A,Final
PoNY,Patrol,12,11,"07/13/2019, 12:00",Pool A,Final
Johnny Bravo,SoCal Condors,13,14,"07/13/2019, 12:00",Pool A,Final
PoNY,Johnny Bravo,13,8,"07/13/2019, 14:00",Pool A,Final
SoCal Condors,Patrol,13,7,"07/13/2019, 14:00",Pool A,Final
pool,Pool B
Revolver,Chain Lightning,13,12,"07/13/2019, 08:00",Pool B,Final
Chicago Machine,Voodoo,11,9,"07/13/2019, 08:00",Pool B,Final
Revolver,Voodoo,13,11,"07/13/2019, 10:00",Pool B,Final
Chicago Machine,Chain Lightning,7,13,"07/13/2019, 10:00",Pool B,Final
Revolver,Chicago Machine,13,11,"07/13/2019, 14:00",Pool B,Final
Chain Lightning,Voodoo,13,7,"07/13/2019, 14:00",Pool B,Final
pool,Pool C
Sockeye,GOAT,13,11,"07/13/2019, 08:00",Pool C,Final
Sub Zero,Prairie Fire,13,7,"07/13/2019, 08:00",Pool C,Final
Sockeye,Prairie Fire,13,5,"07/13/2019, 10:00",Pool C,Final
Sub Zero,GOAT,12,13,"07/13/2019, 10:00",Pool C,Final
Sockeye,Sub Zero,14,15,"07/13/2019, 12:00",Pool C,Final
GOAT,Prairie Fire,13,9,"07/13/2019, 12:00",Pool C,Final
pool,Pool D
Truck Stop,Rhino Slam!,13,7,"07/13/2019, 08:00",Pool D,Final
