USA Ultimate National Championships,Club - Men ,24,10,2019
San Diego,CA,2019-10-24,2019-10-27
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2019/schedule/Men/Club-Men/
Sockeye,1
teamInfo,,"Seattle, Washington",https://www.seattlesockeye.org/,https://www.facebook.com/SeattleSockeye/,https://twitter.com/SeattleSockeye/
coaches,Michael Caldwell,David Hogan
00,Jacob Janin
01,Garrett Martin
02,Brice Dixon
03,Thomas  Kulczak
04,Zachary Goulson
05,Nathan Kwon
06,Phil Murray
07,Eli Friedman
08,Camden Allison-Hall
09,Simon Montague
10,Dongyang Chen
11,Christian Foster
16,Trent Dillon
19,Husayn Carnegie
22,William Katz
23,Xander Cuizon Tice
24,Tony Venneri
27,Dylan Freechild
28,Duncan Linn
30,Matthew Russell
31,Matthew Rehder
34,John Randolph
70,Julian Hausman
77,Ben Snell
87,Chris Kosednar
89,Milan Ravenell
90,Shane Worthington
b,r,e,a,k
DiG,8
teamInfo,,"Boston, Massachusetts",https://instagram.com/digultimate/,https://www.facebook.com/digultimate,https://twitter.com/digultimate
coaches,Josh McCarthy,Jacob Luria,Nathaniel Wicks
02,Ryan Dinger
03,Gabriel Colton
04,Tanner Halkyard
05,Noah Backer
06,Rocco Essex-Linehan
07,Jason (Jay) Clark
08,Michael Sender
09,Ben Field
10,William Stewart
11,Mat Little
12,Mac Hecht
14,Andrew Hooker
16,Nathaniel Dick
17,Jonah Kurman-Faber
21,Ethan Bloodworth
22,Benjamin Tseytlin
23,Jeremy Bernier
24,Henry Babcock
25,Ilya Yudkovich
31,Ben Krupp
32,Spencer Diamond
33,Michael Dillard
42,Brent Lo
44,Tyler Chan
65,Topher Davis
97,Alex Dagley
99,Josh Markette
b,r,e,a,k
SoCal Condors,12
teamInfo,,"Calico, California",,https://www.facebook.com/SantaBarbaraCondors,https://twitter.com/CondorsUltimate
00,Jonathan Helton
01,Michael Kiyoi
02,Seam Ham
03,Michael Tran
04,Scott Radlauer
06,Nathan Bridges
08,Nathan Ransom
09,Maxwell Hume
10,Sean McDougall
11,Steven Milardovich
13,Mark Leggio
14,William Turner
16,Zach Theodore
17,Kenrick Koo
18,Kyle Rubin
19,Jeff Silverman
22,Wesley Groth
24,David Ritchie
28,Bailey Wu
34,Jacob Bartholomew
42,Marcel Osborne
44,Tim Okita
55,Tyler Bacon
80,Travis Dunn
81,Calvin Brown
84,Jesse Cohen
88,Samuel Fontaine
b,r,e,a,k
Furious George,13
teamInfo,,"Vancouver, British Columbia CA",furiousultimate.com,https://www.facebook.com/FuriousGeorgeUltimate,https://twitter.com/FuriousUltimate
coaches,Matthew Berezan,Troe Weston
00,Robbie Brennan
01,William Vu
05,Ty Barbieri
06,Andre Gailits
07,Charles Eyrich
08,Morgan Hibbert
09,Brayden Gee
11,Ari Nitikman
12,Patrick Baylis
14,Cole Keffer
16,Tim Tsang
17,Mathew Goodkey
21,Andrew Dick
23,Fred Lam
24,Peter Yu
27,Alexander Davis
44,Devon Thomson
45,Malcolm Bryson
50,Jonah Lee-Ash
68,David Neilson
77,Hugh Knapp
86,Samson Hoy
89,Kevin Underhill
98,Brendan Wong
b,r,e,a,k
PoNY,2
teamInfo,,"New York, New York",,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
coaches,Ben Van Heuvelen,Bryan Jones,David Blau,Jimmy Leppert
02,Sean Keegan
03,Benjamin Spielman
05,Joshua Stevens-Stein
06,Michael Brenner
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Grant Lindsley
12,Matthew Lemar
13,Evan Padget
15,Kevin Norton
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
21,Alex Thorne
23,Jimmy Mickle
27,Jack Hatchett
31,Chris Kocher
47,Conrad Schloer
50,Beau Kittredge
60,William Dean
66,Jibran Mieser
69,Benjamin Jagt
80,Michael Drost
82,Marques Brownlee
87,Jeffrey Babbitt
99,Milo Snyder
b,r,e,a,k
Sub Zero,7
teamInfo,,"Minneapolis, Minnesota",http://www.subzeroultimate.com/,https://www.facebook.com/Sub-Zero-Ultimate-105463586149513/,https://twitter.com/SubZeroUltimate
coaches,Tallis Boyd
01,Ryan Osgar
02,Logan Pruess
03,Colin Berry
04,Gregory Cousins
05,Charles McCutcheon
06,Charles Weinberg
08,Nicholas Vogt
10,Anthony Poletto
11,Andrew Meshnick
13,Cole Jurek
15,Kristian Johnson
16,Bill Everhart
17,Ethan Rasmussen
18,Wystan Duhn
19,Grayson Pangburn
20,Thomas Echols
21,Codi Wood
26,Jordan Taylor
29,Josh Klane
32,Andrew Roy
33,Connor Anderson
66,Jason Tschida
69,Josh Kautz
71,Nicholas Simonelli
80,Kevin Pettit-Scantling
92,Kevin Brown
99,Tristan Van De Moortele
b,r,e,a,k
Pittsburgh Temper,11
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
