TCT Elite-Select Challenge 2019,Club - Mixed ,17,8,2019
Rockford,IL,2019-08-17,2019-08-18
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2019/schedule/Mixed/Club-Mixed
Weird,12
teamInfo,,"Florida, Florida",https://www.facebook.com/weirdultimate/?ref=br_rs,,https://twitter.com/weirdunit
0,Adam Lapikas
0,Gentry Maddox
0,Lisa Fitton
1,Matt Thompson
2,Bennett Wachob
3,Benjamin Ostman
3,Alex Nelson
6,Adam Carr
7,Carlito Que
8,Joshua Layton
9,Sean Plunkett
10,Tori Taylor
11,Craig Anderson
13,Adam Vinson
16,Jenny Rodriguez
22,Julia Gregory
23,Logan Diehl
26,Thomas Milana
27,Rebecca Poznansky
34,Courtney Read
47,Austin Koffarnus
69,Jaime Estes
77,Quentin Voorhees
84,James Franklin
85,Tabitha Mixon
96,Natalie Wilson
b,r,e,a,k
XIST,13
teamInfo,,"New York, New York",https://www.xistultimate.com/,https://www.facebook.com/xistultimate/,https://twitter.com/XIST_Ultimate
0,Kevin Ludwig
01,Robert Smith
02,Karen Chalif
03,Gary Dixon
07,Ryan Drost
10,Tricia Smit
11,Angel Li
12,Joe Babbino
13,Brian Kibler
15,Matthew Baum
18,Caitlyn Hauswirth
21,Molly McCauley
22,Alexander Hem
23,Luke Ding
25,Amelia Murphy
27,Noriaki To
28,Rachel Attix
32,Lauren Piontek
33,Brian Varis
36,Matt Wiener
42,Tim Kominos
44,Ruthie Tabatchnick
45,Colton Doering
48,Adam Stern
52,Sarah Kay Dela Cruz
80,Hannah Garfield
85,Jacqueline Lee
b,r,e,a,k
Love Tractor,1
teamInfo,,"Denver, Colorado",,https://www.facebook.com/lovetractorultimate/,https://twitter.com/love_tractor
coaches,Jesse Kuroiwa
0,Austin Gregersen
0,Britta Bergstrom
0,Dena Slattery
0,Dorothe Franklin
0,Heather Kraft
0,Maria Schwab
0,Matt Gleason
0,Michael Lun
0,Peter Gleason
0,Robin Fassett-Carman
