South Central D-I College Men's Regionals,College - Men ,27,4,2019
Tulsa,OK,2019-04-27,2019-04-28
https://play.usaultimate.org/events/South-Central-D-I-College-Mens-Regionals-2019/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581/?fref=ts,@CUMamabird
coaches,Bob Krier,Michael Lun,Owen Westbrook
0,Alex Atkins
2,Alex Tatum
5,Saeed Semrin
6,Christopher Larson
7,Sean Chapel
9,Matthew Loughridge 
10,Danny Langevin
11,Son Nguyen
12,Girish Narayanswamy
13,Gregory Blumer
15,Brendan Sheets
16,Michael Fruge
17,Zane Barber
18,Jakob Rheins
19,Isaac Chestler
20,Jace Pivonka
21,Jason Otsuki
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
42,Jacob Reed
44,Cole Besser
88,Quinn Finer
99,Aston Horton
b,r,e,a,k
Texas,2
teamInfo,TUFF,"Austin, Texas",http://texasultimate.wix.com/texasultimate,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
coaches,Calvin Lin
0,Alexander Hirsch
0,Andrew (AJ) Marks
0,Bryan Barrientos
0,Christopher Layden
0,Dylan Deshler
0,Garrett Odom
0,Hayden Rich
0,Jacob Sames
0,James Lewis
0,Kevin Roux
0,Matt Chambers
0,Nathan Marsales
0,Oliver Powers
0,Reese Bowman
0,Robert Foster
0,Saaketh Palchuru
0,Sebastien Lauzy
0,Shane Heath
0,Zain Asher
1,Kolbe Bauer
10,Gage Edblom
10,Paul Choi
11,Brian Street
12,Noah Chambers
14,Mutahir Ahmad
16,Brock Davis
17,Vinay Valsaraj
23,Will Goodwin
50,Matthew Armour
66,John Hardin
83,Alexander You
96,Keivaun Waugh
b,r,e,a,k
Texas-Dallas,4
teamInfo,Woof,"Richardson, Texas",,https://www.facebook.com/UTDWOOF/,https://twitter.com/utd_ultimate
0,Andrue Guerrero
0,Benny Rubanov
0,Brian Honea
0,Garrett Fish
0,Jason Dick
0,Jason Hustad
0,Joey Campain
0,Joseph Welkener
0,David Hammer
0,Logan Harless
0,Nicolas West
0,Nidhish Lokesh
0,Victor Mao
1,Aaron Schuette
2,Emmanuel Bilolo
4,Julius Hubby
5,Christian Cortes
10,Neel Reddy
13,Christopher Fogel
25,Alvaro Guzman
29,Charles McNeil
29,Kirtan Patel
29,Steven Gomez
55,Eric Kleckner
97,Wesley Miaw
98,Luiz Astorga
b,r,e,a,k
Colorado State,3
teamInfo,Hibida,"Fort Collins, Colorado",,,
0,Daniel Crump
0,Dylan Custer
0,Joel Cavaliere
0,Jonathan  Wegleitner
0,Keaton Schreiber
0,Lucas Beal
0,Mason Kiefer
0,Sam Goldstein
0,Ted Dhanens
0,Tucker Martin
2,Dylan Latham McGraw
3,John Miller
4,Mo Scott
5,Jackson Akin
7,Will McDonald
11,Jack McGinnis
16,Jake Marrapode
22,Hudson Martin
23,Nick Banks
24,David Miller
33,Ren Pretkelis
54,Sean Peskin
65,Trevor Isaacson
b,r,e,a,k
Texas A&M,9
