South Central Club Men's Regional Championship 2019,Club - Men ,21,9,2019
Tulsa,OK,2019-09-21,2019-09-22
https://play.usaultimate.org/events/South-Central-Club-Mens-Regional-Championship-2019/schedule/Men/Club-Men/
Johnny Bravo,1
teamInfo,,"Denver, Colorado",http://bravoultimate.org/,https://www.facebook.com/Johnny-Bravo-Ultimate-111884215492137/,https://twitter.com/BravoUltimate
coaches,James (Jim) Schoettler
0,Mark Rauls
01,Jack Hinchsliff
03,David Miller
05,Elliott Erickson
06,Matt Jackson
07,Jonathan Nethercutt
08,Mathieu Agee
10,Nicholas Purifico
11,Joshua Crane
12,Joel Schlachet
14,Joseph Carrara
15,Dennison Bechis
19,Scott Trimble
22,Stanley Peterson
24,Matt Bubernak
25,Conor Tabor
29,Sandy Brown
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
38,Jonah Wisch
42,Ben Lohre
71,Cole Wallin
72,Dylan Salzman
84,Evan Boecking
85,Calvin Delamere
88,Quinn Finer
b,r,e,a,k
Gaucho,8
teamInfo,,"Austin, Texas",,https://www.facebook.com/GauchoUltimate/,https://twitter.com/Gaucho_Ultimate
0,Clayton Selby
0,Daniel Trotter
0,Derek Fan
0,Hayden Stone
0,Jacob Sames
0,Jason Jenkins
0,Jose Tamez Durandeau
0,Michael Clark
0,Saaketh Palchuru
0,Travis Wright
0,Troy Abbott
1,Kolbe Bauer
1,Jack Ostrand
2,Erik Atwell
3,Elan McMinn
3,Michael Paniagua
10,Garrett Wilson
34,Trevor Elam
36,Steven Naji
43,Joseph Wylie
49,Michael Wode
69,Stephen Crowe
98,Samuel Tagle
b,r,e,a,k
Dreadnought,10
teamInfo,,"Fayetteville, Arkansas",,,https://twitter.com/DreadnoughtUlti
coaches,Thomas Dockery
0,Benjamin Rogers
0,Bo Gallian
0,Casey Hooper
0,Ian Kyle Antonio
0,Joseph Filipek
0,Nate Goodlin
0,Patrick Randall
0,Trevor Wingate
2,Thomas Dockery
4,Brian Trussell
5,Sheldon Shinn
9,Ben Morgan
10,Jalen West
10,Lennon Dycus
11,Trent Woessner
14,Ethan Penner
15,Jacob Moore
17,Cameron Umbarger
20,Aric Powers
22,Pierce Teeuwen
32,Mitchell Guthrie
32,Drew Taylor
36,Justin MIlls
57,Jared Hines
69,Andrew Watson
69,Clayton Adams
81,Joel Stennett
b,r,e,a,k
Glycerine,15
teamInfo,,"Dallas, Texas",,,
0,Aaron Smith
0,Adam Geller
0,Andy Lee
0,Ben Street
0,Dakota Merritt
0,Gregory Guggenmos
0,Jonathan Hill
0,Jordan Penn-White
0,Luis Orozco
0,Manov Jain
5,Theodore Chang
6,James Paterson
6,Donovan Bankett
7,Sam Johnson
