Founders Men's Club Sectional Championship 2019,Club - Men ,7,9,2019
West Windsor Township,NJ,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Founders-Mens-Club-Sectional-Championship-2019/schedule/Men/Club-Men/
Patrol,1
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/phillypatrol/,https://twitter.com/phillypatrol
coaches,Charles Hoppes,Anthony Nunez
0,Alex Atkins
0,Jacob Price
0,John (Jack) Flintermann
0,Marc Sands
0,Matthew Hanna
1,Evan Karson
1,Nicholas LaRue
3,Brandon Lamberty
8,Nick Patel
10,Ethan Fortin
11,Scott Xu
13,Brice Dunn
13,Luke Greenley
15,Colin Masino
16,Trevor Griesman
18,William Sickles
19,Thomas Allen
20,David Baer
21,Francisco Gomez
24,Ethan Peck
27,Jake Rainwater
45,Nicholas DiGiorgio
47,Matthew Ballman
48,Ryan Weaver
69,Peter Burt
76,Trevor Lynch
77,Ryan Brown
b,r,e,a,k
Rumspringa,10
teamInfo,,"Virginville, Pennsylvania",,,
0,Owen Thomas
0,Richie McClatchy
0,Samuel Esser
0,Zach Schell
00,Zach Thurston
00,Kyle Wolf
00,Matt Esser
00,Sean Johnston
00,Breton Dietrich
00,Brett Sawyer
00,Colby Clarkson
00,David Kelly
00,Greg Strouse
00,Greg Martin
00,Jared Seyler
00,Michael Martin
18,Michael Reeves
27,Jeff George
b,r,e,a,k
Hazard,7
teamInfo,,"Erie, Pennsylvania",,,
0,Joseph Wheeler
0,Patrick Gillen
2,Dylan Heun
6,Ryan Crotty
7,Morgan Barnes
8,Pasquale Coppola
11,Colby Howe
13,James Mostard
16,Kevin Vandergrift
17,Steven Bizon
18,Devin Christian
19,Daniel McQuillan
20,Andrew Miller
21,Anthony Kahn
23,Seth Howell
25,Brady Burns
30,Brian Boehmke
36,Ray Cunningham
41,Joseph Molina
47,Isaac Smith
50,Zach Dahm
52,Josh Gregory
54,Ryan Birchard
62,Dakota Cohen
72,Tyler Mench
91,Paul Lallement
99,John Buss
b,r,e,a,k
Philadelphia Padawans,16
