Oak Creek Invite 2019,College - Men ,16,3,2019
Axton,VA,2019-03-16,2019-03-17
https://play.usaultimate.org/events/Oak-Creek-Invite-2019/schedule/Men/CollegeMen/
Michigan,1
teamInfo,MagnUM,"Ann Arbor, Michigan",http://www.magnumultimate.com/,https://www.facebook.com/magnUMultimatefrisbee/,https://twitter.com/magnUMultimate
01,Zachary Loyd
03,Elijah Scherz
05,Owen O'Neil
06,Ashwin Pothukuchi
07,Jake Kovalic
08,Jared Schwallie
13,Eli Weaver
14,Alvin Wang
16,Raymond Lu
18,Jeffrey Gao
20,Adam Stautberg
21,Orion Siu
23,Theo Shapinsky
25,Nicholas Colucci
28,Maxton Fil
35,Brian Tretter
42,Ben Sadis
59,Nicholas Gerber
70,Chenxi Sun
84,Cian Johnson
87,Pavel Mazza
96,Reuben Glasser
b,r,e,a,k
SUNY-Geneseo,17
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
0,Abdul Sanderson
0,Alex O’Reilly
0,Brandon Nguyen
0,Charles Barbieri
0,Elijah Freiman
0,Ian Oxman
0,Ian Ward
0,Jack Terwilliger
0,Max Moritz
0,Nicholas Clark
0,Oliver Stordahl
0,Jacob Daly
0,Louis Dadabo
0,Seamus Kearney
4,Ryan Shirk
8,Tyler Tiede
11,Anthony Prato
13,Jack Shepardson
20,Alexandros Anton
20,Robert Holcomb
31,Ethan Perregaux
42,Bryan Campagna
57,Paul Oleyourryk
69,Connor Evans
77,Matthew Orobona
b,r,e,a,k
James Madison,9
teamInfo,Hellfish,"Harrisonburg, Virginia",,,https://twitter.com/hellfishulti
0,Brian Kelly
0,Andrew Elliott
0,Anthony Stone
0,Francisco Marty
1,Travis St. John
2,Haroon Matties
2,Andrew Marusic
3,Harrison Wolfson
3,Nicholas Morris
7,Charles Stimpson
8,Nicholas Harbaugh
10,Kevin Kostka
11,Brian McGee
13,Nicholas Albright
15,Ryan Motta
15,Nicholas Koldys
17,Christopher King
19,Tommaso Piccorossi
22,Garrett Manno
25,Coleman Wells
34,Joseph Evans
46,Kevin Reynolds
51,Naram Alhasani
72,Michael Gostomski
88,William Clark
99,Jacob Akers
b,r,e,a,k
Delaware,16
teamInfo,Sideshow,"Newark, Delaware",,,
0,Brian Fischer
0,Cameron Ogden
0,David Bacigalupi
0,Gabriel Brown
0,Hayden Fulton
0,Matt Hardie
0,Aaron Bonsignore
0,Patrick Temple
0,Richard Evans
0,Robert  McLean
0,Philip Ma
0,Will Brodowski
4,Reed Forman
5,Andrew Barrett
8,Matthew McLean
14,Mike Alexander
18,Jesse Nelson
23,Russell Moy
32,Shawn Riley
42,Patrick Shannon
44,Parker Kerrigan
b,r,e,a,k
Princeton,8
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Adam Ziff
0,Alexander Taylor-Lash
0,Andrew Wang
0,Derek Poletti
0,Erik Taylor-Lash
0,Ethan Tyler
0,Jason King
0,Julian Alvarez
0,Kapil Chandran
0,Max Land
0,Nadeem Demian
0,Nathaniel Moore
0,Nicholas Nelsonwood
0,Sean Gai
0,Patrick Chen
0,Thomas Colen
0,Tim Feng
0,Yang Tu
1,Alan Wong
4,Seho Young
11,Shamay Agaron
11,Charles Coburn
17,Rocco Amorosso
21,Steven Chien
27,Victor Zhou
36,Jake Waksbaum
37,Dylan Baroody
42,Noah Hastings
91,Calvin Deng
b,r,e,a,k
Maryland,2
teamInfo,Maryland Ultimate,"College Park, Maryland",http://umd.orgsync.com/org/ultimate,,https://twitter.com/spacebastards?lang=en
0,Aaron Zheng
0,Adam Weiss
0,Adam Ehrenberg
0,Ari Cacopardo
0,Brandon Yao
0,Drew Herring
0,Jeremy Hess
0,Jeremy Knopf
0,Jimmy Alderisio
0,Grant Simons
0,Jack Hermann
0,Justin Argauer
0,Mason Banner
0,Matthew Rohrbaugh
0,Matthew Joy
0,Michael He
0,Paul Lafleur
0,Ryan Low
0,Theodore Kerr
2,Luke Pascale
2,Jacob  Sheedy
8,Joel Maiman
9,Colin McLaughlin
13,Stephen Lafleur
15,William Xu
16,John Walden
24,Eric Greenlee
24,Ethan Tsirulik
32,Austin Chau
45,Rudra Menon
72,Sam Klueter
84,Daniel Friedman-Brown
b,r,e,a,k
Temple,7
teamInfo,Alert,"Philadelphia, Pennsylvania",,,https://twitter.com/templeultimate
coaches,Brett Wall
0,Harrison McKinlay
0,Patrick Bischke
0,Wilson Dodds
2,Gunnar Jackson
02,Donovan Hugel
03,Joshua Fieseher
04,Mitchell Gaylord
07,Kevin Woodring
09,Sam Gilden-Weiner
14,Dylan Fritz
16,Patrick Kelly
17,Andrew Ngo
18,Adam Novak
21,Paul Anouna
23,Brandon Lamberty
27,Luke Greenley
43,Benjamin Stankovic
53,Ethan Crutchley
69,Brad Predmore
70,Jake Butrica
80,Benjamin Cozzolino
89,Joshua Heacock
91,Austin Quinn
99,Jordan Clever
b,r,e,a,k
Drexel,15
teamInfo,Dragons,"Philadelphia, Pennsylvania",http://drexelultimate.com/,,https://twitter.com/DrexelUltimate
0,Alexander Vasserman
1,Cameron Williams
