Rocky Mountain Mixed Round Robin,Club - Mixed ,29,6,2019
Denver,CO,2019-06-29,2019-06-29
https://play.usaultimate.org/events/Rocky-Mountain-Mixed-Round-Robin/schedule/Mixed/Club-Mixed
Springs Mixed Ulty Team,4
teamInfo,,"Colorado Springs, Colorado",,https://www.facebook.com/KeepItSmutty/,
0,Abigail Leibowitz
0,Ali Hartley
0,Andrew Dawson
0,Elijah Kramer
0,Ethan Latinsky
0,Garrett Wilson
0,Carolina Gonzalez-Llanos
0,Dan Scogin
0,Jeffrey Battiste
0,Kayleigh Hudson
0,Kevin Chubet
0,Margaret Selinger
0,Matt Edwards
0,Michael Fuson
0,Paul Norgaard
4,Dana Jefferson
23,Justin Woodman
30,Leah Dolan-Kelley
41,Cara Utesch
41,Theodore (Teddy) Taggart
53,Sarah Nurmi
77,Kelly Swiryn
99,Paul Utesch
b,r,e,a,k
Sweet Action,1
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SweetActionUltimate,https://twitter.com/SweetActionUlti
0,Brian Moore
0,Caleigh Moore
0,Callie Federer
0,Emma Boyd
0,Ian Whitman
0,Alison Walker
0,Rachael Reddin
0,Roeland Reyniers
7,Anthony Rice
10,Jake Koplen
14,Matt Slowinski
15,Elena Arnosky
17,Will Eckert
20,Matt Cornish
21,Megan Vanderhooft
37,Laurel Baker
45,Nikki Roth
84,Willard Davis
93,Nick Storter
b,r,e,a,k
EDM,2
teamInfo,,"Denver, Colorado",,,
0,Alex Easterday
0,Binh Hoang
0,Catherine Nelson
0,Elsa Vera
0,Jeffrey Simon
0,Katherine Campbell
0,Laura Friedrich
0,Lucia Wei
0,Nicole Shea Niebler
0,Stefan Sorne
0,Trevor Corsello
0,Zoe Wohlgenant
9,Nina Vollmer
10,Hilliard Chesteen
11,John Jackson
13,Conor Lenon
16,Kaleigh Nabb
19,Jonathan Hertel
22,Dat Le
23,Alexander Abbott
32,Rose Buchbinder
50,Sebastian Duffell
b,r,e,a,k
The Strangers,3
teamInfo,,"Westminster, Colorado",,,
0,Christopher Veasey
0,Colleen Daszkiewicz
0,Courtney Butler
0,Dalton Chaffee
0,David Janociak
0,Katharine Evans
0,Leonard Donadio
0,Matthew Bailey
0,Miriah Stieglitz
0,Natalie Fan
0,Raymond  Chen
0,Scott Harris
0,Alex Sottile
0,Alice Murphy
0,Alyssa May
0,Catherine Smith
0,Troy Wojick
0,Zachary Karamallakis
3,Austin Outhavong
10,Eric Gorospe
12,Benjamin Godwin
22,Christian Gentry
23,Jason Howard
27,Joseph Delnero
77,Thomas Hennen
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Sweet Action,The Strangers,11,8,"06/29/2019, 09:00",Pool A,Final
EDM,Springs Mixed Ulty Team,3,13,"06/29/2019, 09:00",Pool A,Final
Sweet Action,Springs Mixed Ulty Team,8,13,"06/29/2019, 10:30",Pool A,Final
EDM,The Strangers,11,8,"06/29/2019, 10:30",Pool A,Final
Sweet Action,EDM,8,4,"06/29/2019, 12:00",Pool A,Final
The Strangers,Springs Mixed Ulty Team,7,12,"06/29/2019, 12:00",Pool A,Final
b,r,e,a,k
brackets,Placement Games
bracket,First Place
Sweet Action,Springs Mixed Ulty Team,12,11,"06/29/2019, 13:30",First Place Game,Final
bracket,Third Place Game
The Strangers,EDM,13,4,"06/29/2019, 13:30",Third Place Game,Final
b,r,e,a,k
