Illinois D-I Men's Conferences,College - Men ,11,4,2026
Chicago,IL,2026-04-11,2026-04-12
https://play.usaultimate.org/events/Illinois-D-I-Mens-Conferences-2026/schedule/Men/CollegeMen/
Illinois-Chicago,8
teamInfo,Juice,"Chicago, Illinois",,https://www.facebook.com/UICUltimateFrisbee/,
0,Juzer Mufaddal
0,Madhav Sekhar
0,Mohamed Lukmanji
0,Reza Dowlatshahi
0,Galvin Kao
00,Huzefa Saifuddin
00,Murtaza Mufaddal
00,Pavan Kannan
25,Jake Swalec
37,Varun Karpagavinayagam
b,r,e,a,k
Illinois,1
teamInfo,Rise,"Champaign, Illinois",https://illinoisrise.com/#/home,,https://twitter.com/Illinois_Rise
0,Joe Pozen
0,Judah Kim
0,Matthew Conroy
0,Mehlum Anjarwala
0,Leron Wu
0,Alex Paulauskas
0,Logan Lambright
00,Eli Artemakis
00,Eric Cai
00,Abe Palmer
00,Jackson Kiedaisch
00,Aadit Bhatia
02,Nathaniel Astrom
05,Arjun Samudrala
08,Andrew Chen
09,Kai Tang
10,Kaidan Mavros
10,Carter Rodgers
14,Shea Sturtevant
15,Evan Sebastian
17,William Voss
19,Griffin Kelley
22,Spencer Sadler
26,Kushal Kothapalli
27,Jake Fujiwara
29,Sean Hickey
34,Carson Splear
b,r,e,a,k
Southern Illinois-Edwardsville,4
teamInfo,SIEGE,"Edwardsville, Illinois",,,
01,Hector Chaidez
02,Jadin Johnson
06,Sam Dawson
07,Augustino Ojeda
08,Jonathan Zawitkowski
09,Lucas Hanson
10,Jacob Geisen
11,Dillon McGinnis
12,Nathan  Burrell
13,Christian Kult
16,Nicholas  Smith
17,Alec Screnchuk
18,Keaton Anderson
22,Logan Jaynes
26,Evan Driscoll
30,Jesse Zawitkowski
38,Arik Screnchuk
b,r,e,a,k
DePaul,5
teamInfo,DUC,"Chicago, Illinois",http://www.instagram.com/depaulultimate,,https://twitter.com/depaultimate
0,Henry Mateja
0,Isaac Belina
0,Leonardo Verrilli
0,Phil Crowther
0,Sean Hoch
0,Thomas Wingerter
00,Piere Joyner
00,Mikkal Hvidsten
00,Evan Lutz
04,Jackson Bear
09,Levi Taylor
11,Lucius Johnson
21,Reece Bastyr
25,Shea McKeough
28,Eli Hoffmann
42,Quinn Doyle
44,Peter Milburn
47,Alex Kielbasa
80,William Hollis
99,Giri Peters
b,r,e,a,k
Chicago,2
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
coaches,Rutledge Smith
0,Noah Peters
0,Sean Chew
00,Tom Dupor
00,Trevor Ung
00,Tuhin Ghosh
00,Joseph Kaplan
00,Kevin Yuan
00,Michael Hlavaty
00,Nathaniel Alden
00,Nicholas Rose
00,Mason Wright
00,Duncan Fuehne
00,Maxwell Devine
00,Ben Brink
00,Benjamin O'Donnell
00,Caleb Friedman
00,Christopher Nowak
00,Derek Hsu
00,Emmanuel Abayev
00,Garrett White
00,Gavin Kelly
00,Han Zhang
00,Aiden Tandiono
00,Joseph Sifakis
04,Loren Pope
07,Javier Emilio Henriquez
08,Aston Tandiono
11,Daniel Ruskay-Kidd
21,Willy Gu
24,Dashiel Cockrill
35,Xander Wilcox
b,r,e,a,k
Northwestern,3
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
0,Isidore Donnelly
0,Jack Spector
0,Joss Meir
0,Lucas Hurtado
0,Albert Luo
0,Alexander Patt
0,Myles Levine
0,Xander Senechal
0,Dillon Astudillo
00,Ethan Weiss
00,Hari Maheswaran
00,Taye Bradford
00,Benjamin  Fried
00,Mateo Liguori
00,Keuyrbel Zewedu
00,Tyler Zarybnisky
00,Miki Ling
00,Nathan Rachwalski
00,Tony Cheng
00,Truman Margolies
00,Jesse Hart
02,Bernie Waldman
08,Ian Falck
20,Kevin Ji
37,Ezra Danzig
68,Emmett Broustis
b,r,e,a,k
Illinois State,6
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
0,Dominic Franklin
0,Dylan Shaheen
0,Ian Fong
0,James Rea
0,Jonathon Willis
0,Owen Cook
0,Roman Delgado
00,James Daniels
01,Dillon Yocum
02,Kacper Wujda
04,Rishi Boghra
06,Logan Dudley
07,Carter Whitlow
08,Rosario Pollina
11,Wojtek Strapoc
12,Ethan  Moore
15,Zachary Zietara
17,Maksymilian Zajdel
18,Holden Wiegel
20,Jayson Singleton
22,Brandon Hill
34,Patrick Corlett
44,Andrew Roth
95,John Chambers
b,r,e,a,k
Loyola-Chicago,7
teamInfo,Darkwing,"Chicago, Illinois",http://loyolaultimate.wixsite.com/darkwing,,
67,Beck Cate
67,Bjorn Anderson
67,Brandon Olsson
67,Diedrick Nikoi
67,Dominic  Divozzo
67,Eli Keppe
67,Elliott Laibson-Brown
67,Finn Boffeli
67,Kelvin Nguyen
67,Leo Engelke
67,Marek Powell
67,Max Wuest
67,Nicholas Rottman
67,Otto Koops-Elson
67,Quinn Dehner
67,Roberto Lombana
67,Sameeh Shafi
67,Samuel Libis
67,William  Menke
67,William Gresh
67,Jude Ratajczak
67,Anthoine  Godin
67,Anthony Scibelli
67,Joe Piacitelli
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Illinois,DePaul,15,9,"04/11/2026, 09:00",Pool A,Scheduled
Southern Illinois-Edwardsville,Illinois-Chicago,15,5,"04/11/2026, 09:00",Pool A,Scheduled
Illinois,Illinois-Chicago,15,2,"04/11/2026, 11:00",Pool A,Scheduled
Southern Illinois-Edwardsville,DePaul,0,0,"04/11/2026, 11:00",Pool A,Scheduled
Illinois,Southern Illinois-Edwardsville,0,0,"04/11/2026, 13:00",Pool A,Scheduled
DePaul,Illinois-Chicago,0,0,"04/11/2026, 13:00",Pool A,Scheduled
pool,Pool B
Chicago,Illinois State,15,7,"04/11/2026, 09:00",Pool B,Scheduled
Northwestern,Loyola-Chicago,15,6,"04/11/2026, 09:00",Pool B,Scheduled
Chicago,Loyola-Chicago,15,1,"04/11/2026, 11:00",Pool B,Scheduled
Northwestern,Illinois State,15,7,"04/11/2026, 11:00",Pool B,Scheduled
Chicago,Northwestern,0,0,"04/11/2026, 13:00",Pool B,Scheduled
Illinois State,Loyola-Chicago,0,0,"04/11/2026, 13:00",Pool B,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
bracket,2nd Place Bracket
bracket,4th Place Game to Go
bracket,7th Place Game
b,r,e,a,k
