teamInfo,Irates,"Greenville, North Carolina",,https://www.facebook.com/ECUUltimateFrisbee,https://twitter.com/ECUUltimate
0,Gabriel Blanche
0,Tanner Plentl
1,Elliot Meyer
5,Terrence Johnson
6,Connor Rowand
8,Connor Wood
14,Isaiah  Faulkner
15,Wade Watson
19,Quinn Scott
23,Kaden Labor
29,Joseph Laliberte
44,Preston Davis
45,Colton Atkinson
b,r,e,a,k
American,17
teamInfo,Stall 11,"Washington, District of Columbia",http://www.americanultimate.com/main-site#!__main-site,https://www.facebook.com/stall11,http://twitter.com/AU_Ultimate/
0,Amanuel Howard
0,Asher  Rosen
0,Brennan Lein
0,Elliot Gerlach
0,James Branning
0,Joshua Barshay
0,Luca Alvarez
0,Lucas Eisenberg
0,Miles Hahn
0,Myles Williams
0,Nathan Hardaway
0,Paul De Bord
0,Sage Maklansky
0,Simon Bober
0,Theo Smith
0,Thomas Brown
0,William Zimmerman
7,Avi Paulson
9,Dru Dunn
22,Kyle Brown
35,Adam Schutsky
96,Jonathan Gould
b,r,e,a,k
Virginia Commonwealth,20
teamInfo,Biscuit Villains,"Richmond, Virginia",,,https://twitter.com/vcu_villains
5,Erik Hansen
7,Trevor Franklin
8,blaze pesta
12,Patrick Fallon
14,Walter Linsner
18,Jalin Gordon
20,Chance  Hollingsworth
22,Justin Carpenter
26,Tyler Reimann
27,James White
28,Larkin Steenstra
29,Evan Fagen
32,Guthrie Bowers
33,Elijah Lewis
37,Logan Greeneltch
39,David Rocco
44,Gavin Conway
46,Liam Dunn
84,Cole Snavely
86,Jack Armstrong
87,Jason Dresen
b,r,e,a,k
South Carolina (B),22
teamInfo,South Carolina,"Columbia, South Carolina",,https://www.instagram.com/dirtybirdsultimate,https://www.twitter.com/DirtyBirdsUSC
0,Metehan Tarhan
12,Cole Glenn
17,Drayson Macdonald
20,Nathan Skinner
39,Hayden Fulcher
44,Zion Payne
46,Christian  Wolff
55,Ryan Hays
66,George Cerimele
75,Logan Eidell
98,Kaden Moracco
b,r,e,a,k
Davidson,15
teamInfo,DUFF,"Davidson, North Carolina",,https://www.facebook.com/DavidsonUltimate/,https://mobile.twitter.com/DUFF_Cats?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Andre Phillips
0,Asa McCaleb
0,Azim Mithaiwala
0,Beckett Ledahl
0,Ben Atherton
0,Benjamin Council
0,Bennett Lappin
0,Christopher Layman
0,Declan Lonergan
0,Emerson Miller
0,Evan Jones
0,Jacob Suchman
0,Jerry Wang
0,Kavi Kurup
0,Lucas Hoffman
0,Mac McCall
0,Max Liebermann
0,Michael  Emerson
0,Nirvan Bernstein
0,Noah Hawkins
0,Ryan Wu
0,Srijit Banerjee
0,Trenton Thompson
0,Bradley Towner
0,Yuma Fukatsu
1,Biwon Ng
2,Wesley Smail
6,Nicholas Skarbek-Borowski
10,Campbell Lesher
11,Nate Green
30,Truman Sandy
33,John Ready
77,Josh Matushak
b,r,e,a,k
South Carolina,16
teamInfo,Gamecock Ultimate,"Columbia, South Carolina",https://garnetgate.sa.sc.edu/organization/ufrisb,https://facebook.com/GamecockUltimate/,https://twitter.com/CocksUltimate
coaches,Jacob Blackman
0,Abram Ballato
0,Hayden Harki
0,Jack Sullivan
0,Jack Wilson
0,Jared Kristall
0,Jason Skau
0,Liam Chandler
0,Nathan Gurwitz
0,Nathaniel Humphrey
0,Patrick Quirk
0,Ryan Zeineddine
0,Samuel Clutts
0,Sawyer Kolowith
4,Nicholas Lopez
6,Thomas Atkinson
11,Aidan Sauls
13,Achilles Hahn
15,Koen Reiter
16,Josiah Hartman
22,Evan Pellegrino
23,Allen Meese
25,Connor Kitley
26,Owen Pellegrino
31,Aidan Tomsik
45,Benjamin Kaiser
86,Brad Thomson
b,r,e,a,k
Virginia Tech (B),21
teamInfo,Virginia Tech B,"Blacksburg, Virginia",,,
0,Adam Stitt
0,Aeden Boyer
0,Aiden Allsman
0,Andrew Schineller
0,Campbell Clay
0,Connor Johnson
0,Diol Glele
0,Elias Humes
0,Elias Mengistu
0,Garrett Yost
0,Grant Miller
0,Jackson Landsberg
0,Jonathan Culbertson
0,Josh Pill
0,Justin Mangis
0,Quad Jacobson
0,Rex Freedman
0,Rudy Tamez
0,Sebastian Ramthun
0,Tyler Tierney
0,William Solares
10,Eyuel Berhanu
39,Thomas Basile
52,Erik Graulich
66,Shivansh Shah
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Carleton College-CHOP,Richmond,12,13,"03/21/2026, 09:00",Pool A,Final
Delaware,Richmond,14,9,"03/21/2026, 10:45",Pool A,Final
Carleton College-CHOP,Delaware,15,10,"03/21/2026, 12:30",Pool A,Final
pool,Pool B
Virginia Tech,Duke,15,10,"03/21/2026, 09:00",Pool B,Final
Syracuse,Duke,13,10,"03/21/2026, 10:45",Pool B,Final
Virginia Tech,Syracuse,12,11,"03/21/2026, 12:30",Pool B,Final
pool,Pool C
Emory,Appalachian State,13,10,"03/21/2026, 09:00",Pool C,Final
Massachusetts  (B),Appalachian State,15,8,"03/21/2026, 10:45",Pool C,Final
Emory,Massachusetts  (B),11,10,"03/21/2026, 12:30",Pool C,Final
pool,Pool D
William & Mary,Lehigh,12,9,"03/21/2026, 09:00",Pool D,Final
SUNY-Binghamton,Lehigh,15,9,"03/21/2026, 10:45",Pool D,Final
William & Mary,SUNY-Binghamton,10,15,"03/21/2026, 12:30",Pool D,Final
pool,Pool E
Liberty,Western Carolina,15,7,"03/21/2026, 10:45",Pool E,Final
Maryland-Baltimore County,Luther,15,8,"03/21/2026, 10:45",Pool E,Final
Liberty,Maryland-Baltimore County,13,5,"03/21/2026, 12:30",Pool E,Final
Luther,Western Carolina,5,15,"03/21/2026, 12:30",Pool E,Final
pool,Pool F
East Carolina,South Carolina (B),15,2,"03/21/2026, 10:45",Pool F,Final
American,Virginia Commonwealth,11,9,"03/21/2026, 10:45",Pool F,Final
East Carolina,American,15,6,"03/21/2026, 12:30",Pool F,Final
Virginia Commonwealth,South Carolina (B),11,6,"03/21/2026, 12:30",Pool F,Final
pool,Pool G
Davidson,Virginia Tech (B),15,5,"03/21/2026, 09:00",Pool G,Final
South Carolina,Virginia Tech (B),15,5,"03/21/2026, 10:45",Pool G,Final
Davidson,South Carolina,15,9,"03/21/2026, 12:30",Pool G,Final
b,r,e,a,k
clusters,Power Pool Crossover
cluster,Power Pool Crossover
Carleton College-CHOP,Emory,14,11,"03/21/2026, 14:15",,Final
Virginia Tech,SUNY-Binghamton,11,14,"03/21/2026, 14:15",,Final
Massachusetts  (B),Delaware,13,10,"03/21/2026, 14:15",,Final
William & Mary,Syracuse,13,12,"03/21/2026, 14:15",,Final
Richmond,Appalachian State,11,12,"03/21/2026, 14:15",,Final
Duke,Lehigh,9,15,"03/21/2026, 14:15",,Final
b,r,e,a,k
clusters,Bracket Play In Crossover
cluster,Bracket Play In Crossover
Liberty,Virginia Commonwealth,11,6,"03/21/2026, 14:15",,Final
East Carolina,Maryland-Baltimore County,15,3,"03/21/2026, 14:15",,Final
Davidson,Western Carolina,12,7,"03/21/2026, 14:15",,Final
South Carolina,American,13,8,"03/21/2026, 14:15",,Final
b,r,e,a,k
clusters,Not Last Consolation
cluster,NLC
Virginia Tech (B),Luther,15,6,"03/21/2026, 14:15",,Final
Virginia Tech (B),South Carolina (B),13,4,"03/21/2026, 16:00",,Final
American,Western Carolina,10,9,"03/21/2026, 16:00",,Final
Maryland-Baltimore County,Virginia Commonwealth,7,11,"03/21/2026, 16:00",,Final
Luther,South Carolina (B),3,15,"03/22/2026, 08:30",,Final
Maryland-Baltimore County,Western Carolina,8,14,"03/22/2026, 08:30",,Final
Virginia Tech (B),American,5,12,"03/22/2026, 08:30",,Final
Luther,American,0,0,"03/22/2026, 10:15",,Scheduled
South Carolina (B),Western Carolina,0,0,"03/22/2026, 10:15",,Scheduled
Virginia Tech (B),Virginia Commonwealth,0,0,"03/22/2026, 10:15",,Scheduled
Luther,Virginia Commonwealth,0,0,"03/22/2026, 12:00",,Scheduled
South Carolina (B),Maryland-Baltimore County,0,0,"03/22/2026, 12:00",,Scheduled
Virginia Tech (B),Western Carolina,0,0,"03/22/2026, 12:00",,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place 
Carleton College-CHOP,Virginia Tech,0,0,"03/22/2026, 10:15",1st Place Semis,Scheduled
Emory,SUNY-Binghamton,0,0,"03/22/2026, 10:15",1st Place Semis,Scheduled
Carleton College-CHOP,Appalachian State,15,6,"03/22/2026, 08:30",1st Place Quarters,Final
Massachusetts  (B),Virginia Tech,10,15,"03/22/2026, 08:30",1st Place Quarters,Final
Emory,William & Mary,13,10,"03/22/2026, 08:30",1st Place Quarters,Final
Delaware,SUNY-Binghamton,10,15,"03/22/2026, 08:30",1st Place Quarters,Final
Carleton College-CHOP,South Carolina,15,7,"03/21/2026, 16:00",Pre Quarters,Final
Syracuse,Appalachian State,13,14,"03/21/2026, 16:00",Pre Quarters,Final
Massachusetts  (B),Duke,11,10,"03/21/2026, 16:00",Pre Quarters,Final
Virginia Tech,Liberty,12,10,"03/21/2026, 16:00",Pre Quarters,Final
Emory,East Carolina,13,12,"03/21/2026, 16:00",Pre Quarters,Final
William & Mary,Richmond,13,12,"03/21/2026, 16:00",Pre Quarters,Final
Delaware,Lehigh,14,8,"03/21/2026, 16:00",Pre Quarters,Final
SUNY-Binghamton,Davidson,15,6,"03/21/2026, 16:00",Pre Quarters,Final
bracket,3rd Place
bracket,5th Place
Appalachian State,Massachusetts  (B),0,0,"03/22/2026, 10:15",5th Place Semis,Scheduled
William & Mary,Delaware,0,0,"03/22/2026, 10:15",5th Place Semis,Scheduled
bracket,7th Place
bracket,9th Place
Syracuse,Duke,0,0,"03/22/2026, 10:15",9th Place Semis,Scheduled
Richmond,Davidson,0,0,"03/22/2026, 10:15",9th Place Semis,Scheduled
South Carolina,Syracuse,9,15,"03/22/2026, 08:30",9th Place Quarters,Final
Duke,Liberty,11,10,"03/22/2026, 08:30",9th Place Quarters,Final
East Carolina,Richmond,11,12,"03/22/2026, 08:30",9th Place Quarters,Final
Lehigh,Davidson,10,15,"03/22/2026, 08:30",9th Place Quarters,Final
bracket,11th Place
bracket,13th Place
South Carolina,Liberty,0,0,"03/22/2026, 10:15",13th Place Semis,Scheduled
East Carolina,Lehigh,0,0,"03/22/2026, 10:15",13th Place Semis,Scheduled
bracket,15th Place
b,r,e,a,k
