Marsh Madness,College - Men ,7,3,2026
Tuscaloosa,AL,2026-03-07,2026-03-08
https://play.usaultimate.org/events/T-Town-Throwdown-2026/schedule/Women/CollegeWomen/
Embry-Riddle,3
teamInfo,,,,,
b,r,e,a,k
Florida State (B),7
teamInfo,,,,,
b,r,e,a,k
Florida Tech,2
teamInfo,,,,,
b,r,e,a,k
Florida (B),5
teamInfo,,,,,
b,r,e,a,k
North Florida,4
teamInfo,,,,,
b,r,e,a,k
Ave Maria (B),1
teamInfo,,,,,
b,r,e,a,k
Florida Polytechnic,6
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Ave Maria (B),Florida Polytechnic,13,7,"01/31/2026, 09:00",Pool A,Final
Florida Tech,North Florida,13,7,"01/31/2026, 09:00",Pool A,Final
Embry-Riddle,Florida (B),10,4,"01/31/2026, 09:00",Pool A,Final
Florida (B),Florida Polytechnic,10,6,"01/31/2026, 10:45",Pool A,Final
Ave Maria (B),Florida State (B),9,10,"01/31/2026, 10:45",Pool A,Final
Embry-Riddle,North Florida,13,2,"01/31/2026, 10:45",Pool A,Final
Ave Maria (B),Florida Tech,5,6,"01/31/2026, 12:30",Pool A,Final
Florida (B),Florida State (B),4,10,"01/31/2026, 12:30",Pool A,Final
Embry-Riddle,Florida Polytechnic,8,7,"01/31/2026, 12:30",Pool A,Final
Ave Maria (B),Florida (B),1,12,"01/31/2026, 14:15",Pool A,Final
North Florida,Florida Polytechnic,13,2,"01/31/2026, 14:15",Pool A,Final
Florida Tech,Florida State (B),5,10,"01/31/2026, 14:15",Pool A,Final
Ave Maria (B),North Florida,0,13,"02/01/2026, 09:00",Pool A,Final
Florida Tech,Florida Polytechnic,W,F,"02/01/2026, 09:00",Pool A,Final
Embry-Riddle,Florida State (B),13,2,"02/01/2026, 09:00",Pool A,Final
Florida Tech,Embry-Riddle,1,13,"02/01/2026, 10:45",Pool A,Final
North Florida,Florida (B),6,10,"02/01/2026, 10:45",Pool A,Final
Florida Polytechnic,Florida State (B),F,W,"02/01/2026, 10:45",Pool A,Final
Ave Maria (B),Embry-Riddle,4,12,"02/01/2026, 12:30",Pool A,Final
Florida Tech,Florida (B),10,7,"02/01/2026, 12:30",Pool A,Final
North Florida,Florida State (B),7,4,"02/01/2026, 12:30",Pool A,Final
b,r,e,a,k
brackets,Playoffs
bracket,1st + 2nd
Embry-Riddle,Florida State (B),11,3,"02/01/2026, 14:15",1st + 2nd,Final
bracket,3rd + 4th
Florida Tech,Florida (B),1,7,"02/01/2026, 14:15",3rd + 4th,Final
bracket,5th + 6th
North Florida,Ave Maria (B),6,11,"02/01/2026, 14:15",5th + 6th,Final
b,r,e,a,k
