North Central Dev Men's Conferences,College - Men ,25,4,2026
Des Moines,IA,2026-04-25,2026-04-26
https://play.usaultimate.org/events/North-Central-D-III-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Minnesota (B),1
teamInfo,,,,,
b,r,e,a,k
Wisconsin (B),2
teamInfo,,,,,
b,r,e,a,k
Minnesota (C),3
teamInfo,,,,,
b,r,e,a,k
Iowa (B),5
teamInfo,,,,,
b,r,e,a,k
Iowa State (B),4
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Minnesota (C),Iowa State (B),13,7,"04/11/2026, 09:00",Pool A,Final
Minnesota (B),Wisconsin (B),13,4,"04/11/2026, 09:00",Pool A,Final
Minnesota (B),Iowa State (B),13,2,"04/11/2026, 10:45",Pool A,Final
Wisconsin (B),Iowa (B),12,5,"04/11/2026, 10:45",Pool A,Final
Minnesota (B),Minnesota (C),13,5,"04/11/2026, 12:30",Pool A,Final
Iowa State (B),Iowa (B),8,11,"04/11/2026, 12:30",Pool A,Final
Wisconsin (B),Iowa State (B),13,1,"04/11/2026, 14:15",Pool A,Final
Minnesota (C),Iowa (B),13,5,"04/11/2026, 14:15",Pool A,Final
Minnesota (B),Iowa (B),13,2,"04/12/2026, 09:00",Pool A,Final
Wisconsin (B),Minnesota (C),W,L,"04/12/2026, 09:00",Pool A,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Minnesota (B),Wisconsin (B),15,5,"04/12/2026, 10:45",1st Place,Final
bracket,Second Place
Minnesota (C),Wisconsin (B),9,15,"04/12/2026, 12:45",Second Place (Game to Go),Final
Minnesota (C),Iowa (B),14,11,"04/12/2026, 10:45",Second Semis,Final
b,r,e,a,k
