The Grand Northeast Kickoff,College - Men ,21,3,2026
Princeton,NJ,2026-03-21,2026-03-22
https://play.usaultimate.org/events/Jersey-Devil-2026/schedule/Women/CollegeWomen/
Williams,1
teamInfo,,,,,
b,r,e,a,k
Brandeis,5
teamInfo,,,,,
b,r,e,a,k
Bates,8
teamInfo,,,,,
b,r,e,a,k
Colby,4
teamInfo,,,,,
b,r,e,a,k
Rhode Island,2
teamInfo,,,,,
b,r,e,a,k
Rensselaer Polytech,6
teamInfo,,,,,
b,r,e,a,k
Tufts (B),3
teamInfo,,,,,
b,r,e,a,k
Massachusetts-Lowell,7
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Williams,Brandeis,8,7,"03/07/2026, 14:30",Pool A,Final
Colby,Bates,8,9,"03/07/2026, 14:30",Pool A,Final
Williams,Bates,11,4,"03/07/2026, 15:45",Pool A,Final
Colby,Brandeis,8,9,"03/07/2026, 15:45",Pool A,Final
Williams,Colby,11,3,"03/07/2026, 17:00",Pool A,Final
Brandeis,Bates,11,4,"03/07/2026, 17:00",Pool A,Final
pool,Pool B
Rhode Island,Rensselaer Polytech,10,8,"03/07/2026, 14:30",Pool B,Final
Tufts (B),Massachusetts-Lowell,11,2,"03/07/2026, 14:30",Pool B,Final
Rhode Island,Massachusetts-Lowell,11,0,"03/07/2026, 15:45",Pool B,Final
Tufts (B),Rensselaer Polytech,4,9,"03/07/2026, 15:45",Pool B,Final
Rhode Island,Tufts (B),11,5,"03/07/2026, 17:00",Pool B,Final
Rensselaer Polytech,Massachusetts-Lowell,11,3,"03/07/2026, 17:00",Pool B,Final
b,r,e,a,k
brackets,Sunday Bracket Day
bracket,Championship Bracket
Williams,Brandeis,12,5,"03/08/2026, 16:30",Finals,Final
Williams,Bates,13,4,"03/08/2026, 15:00",Semifinals,Final
Brandeis,Colby,7,6,"03/08/2026, 15:00",Semifinals,Final
Williams,Massachusetts-Lowell,13,0,"03/08/2026, 13:30",Quarterfinals,Final
Rensselaer Polytech,Bates,8,9,"03/08/2026, 13:30",Quarterfinals,Final
Brandeis,Tufts (B),12,9,"03/08/2026, 13:30",Quarterfinals,Final
Rhode Island,Colby,9,11,"03/08/2026, 13:30",Quarterfinals,Final
bracket,Get those games
Tufts (B),Rhode Island,6,9,"03/08/2026, 16:30",Fivals,Final
Massachusetts-Lowell,Tufts (B),2,13,"03/08/2026, 15:00",Round Name,Final
Rhode Island,Rensselaer Polytech,10,7,"03/08/2026, 15:00",Round Name,Final
bracket,Bronze and Honorable Mention
Bates,Colby,6,9,"03/08/2026, 16:30",Third Place,Final
bracket,Get those games 2
Massachusetts-Lowell,Rensselaer Polytech,2,7,"03/08/2026, 16:30",Seventh Place,Final
b,r,e,a,k
