Commonwealth Cup 2026 Weekend 1,College - Men ,11,4,2026
Tempe,AZ,2026-04-11,2026-04-12
https://play.usaultimate.org/events/Desert-D-I-Mens-Conferences-2026/schedule/Men/CollegeMen/
Harvard,4
teamInfo,,,,,
b,r,e,a,k
Pittsburgh (B),1
teamInfo,,,,,
b,r,e,a,k
Wake Forest,5
teamInfo,,,,,
b,r,e,a,k
Cedarville,8
teamInfo,,,,,
b,r,e,a,k
Virginia Tech (B),9
teamInfo,,,,,
b,r,e,a,k
Ohio,2
teamInfo,,,,,
b,r,e,a,k
North Carolina (B),7
teamInfo,,,,,
b,r,e,a,k
Miami (Florida),6
teamInfo,,,,,
b,r,e,a,k
Akron,3
teamInfo,,,,,
b,r,e,a,k
Maryland (B),10
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
pools,M PP
pool,Pool A
Pittsburgh (B),Virginia Tech (B),13,6,"02/21/2026, 09:00",Pool A,Final
Wake Forest,Cedarville,13,10,"02/21/2026, 09:00",Pool A,Final
Pittsburgh (B),Wake Forest,13,9,"02/21/2026, 10:45",Pool A,Final
Harvard,Cedarville,12,13,"02/21/2026, 10:45",Pool A,Final
Cedarville,Virginia Tech (B),13,8,"02/21/2026, 12:30",Pool A,Final
Harvard,Wake Forest,13,8,"02/21/2026, 12:30",Pool A,Final
Pittsburgh (B),Cedarville,13,12,"02/21/2026, 14:15",Pool A,Final
Harvard,Virginia Tech (B),13,10,"02/21/2026, 14:15",Pool A,Final
Pittsburgh (B),Harvard,9,12,"02/21/2026, 16:00",Pool A,Final
Wake Forest,Virginia Tech (B),12,10,"02/21/2026, 16:00",Pool A,Final
pool,Pool B
Ohio,Maryland (B),13,1,"02/21/2026, 09:00",Pool B,Final
Miami (Florida),North Carolina (B),9,13,"02/21/2026, 09:00",Pool B,Final
Ohio,Miami (Florida),13,8,"02/21/2026, 10:45",Pool B,Final
Akron,North Carolina (B),6,13,"02/21/2026, 10:45",Pool B,Final
North Carolina (B),Maryland (B),13,4,"02/21/2026, 12:30",Pool B,Final
Akron,Miami (Florida),7,13,"02/21/2026, 12:30",Pool B,Final
Ohio,North Carolina (B),13,12,"02/21/2026, 14:15",Pool B,Final
Akron,Maryland (B),13,1,"02/21/2026, 14:15",Pool B,Final
Ohio,Akron,13,7,"02/21/2026, 16:00",Pool B,Final
Miami (Florida),Maryland (B),13,3,"02/21/2026, 16:00",Pool B,Final
b,r,e,a,k
brackets,M BP
bracket,M CHAMPIONSHIP BRACKET
North Carolina (B),Cedarville,13,9,"02/22/2026, 11:30",M FINALS,Final
Pittsburgh (B),North Carolina (B),8,13,"02/22/2026, 09:45",M SEMIS,Final
Ohio,Cedarville,9,10,"02/22/2026, 09:45",M SEMIS,Final
North Carolina (B),Wake Forest,13,5,"02/22/2026, 08:00",M PLAY-IN,Final
Cedarville,Miami (Florida),13,11,"02/22/2026, 08:00",M PLAY-IN,Final
bracket,M 3RD PLACE GAME
Pittsburgh (B),Ohio,11,9,"02/22/2026, 11:30",M 3RD PLACE,Final
bracket,M 5TH PLACE GAME
Wake Forest,Miami (Florida),7,13,"02/22/2026, 09:45",M 5TH PLACE,Final
b,r,e,a,k
pools,M CONS BP
pool,Pool C
Akron,Virginia Tech (B),11,12,"02/22/2026, 08:00",Pool C,Final
Maryland (B),Virginia Tech (B),7,13,"02/22/2026, 09:45",Pool C,Final
Maryland (B),Akron,F,W,"02/22/2026, 11:30",Pool C,Final
b,r,e,a,k
