Ski Town Classic 2026,Club - Men ,15,8,2026
Salt Lake City,UT,2026-08-15,2026-08-16
https://play.usaultimate.org/events/Ski-Town-Classic-2026/schedule/Men/Club-Men/
Wretched Refuse,1
Lil’ Huckers,Skipjack,0,0,"08/15/2026, 12:30",Pool F,Scheduled
b,r,e,a,k
brackets,Ski Town Classic Championship
bracket,Championship Bracket
b,r,e,a,k
brackets,Consolation
bracket,3rd Place
bracket,5th Place Bracket
bracket,7th Place Game
bracket,9th Place Bracket
bracket,11th Place
bracket,13th Place Seeding 1
bracket,13th Place Seeding 2
bracket,T 13th 1
bracket,T 13th 2
bracket,T 17th 1
bracket,T 17th 2
b,r,e,a,k
