Millersville B Round Robin,college-open,28,3,2008
Millersville,PA,2008-03-28,2008-03-28
https://scorereport.net/2008/college-open/event4805
Penn State-B
b,r,e,a,k
Millersville-B
b,r,e,a,k
Franklin & Marshall-B
b,r,e,a,k
St Joseph's
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Penn State-B,Millersville-B,7,10,"03/28/2008, 07:00",Pool A,final
Franklin & Marshall-B,St Joseph's,5,10,"03/28/2008, 07:00",Pool A,final
Penn State-B,St Joseph's,10,5,"03/28/2008, 08:30",Pool A,final
Franklin & Marshall-B,Millersville-B,11,3,"03/28/2008, 08:30",Pool A,final
Penn State-B,Franklin & Marshall-B,6,5,"03/28/2008, 10:00",Pool A,final
Millersville-B,St Joseph's,3,13,"03/28/2008, 10:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
